Name,Link
"Suricate Ventures","https://www.eu-startups.com/investor/suricate-ventures/"
"RUJ VC","https://www.eu-startups.com/investor/ruj-vc/"
"Venture to Future Fund","https://www.eu-startups.com/investor/venture-to-future-fund/"
"Silicon Gardens","https://www.eu-startups.com/investor/silicon-gardens-2/"
"Silicon Gardens","https://www.eu-startups.com/investor/silicon-gardens/"
"SRC","https://www.eu-startups.com/investor/src/"
"Capital Genetics","https://www.eu-startups.com/investor/capital-genetics/"
"Ljubljana University Incubator","https://www.eu-startups.com/investor/ljubljana-university-incubator/"
"Labena Ventures","https://www.eu-startups.com/investor/labena-ventures/"
"Kolektor Ventures","https://www.eu-startups.com/investor/kolektor-ventures/"
"Hekovnik Startup School","https://www.eu-startups.com/investor/hekovnik-startup-school/"
"ABC Accelerator","https://www.eu-startups.com/investor/abc-accelerator/"
