Name,Link
"Vision Ventures","https://www.eu-startups.com/investor/vision-ventures/"
"Neulogy Ventures","https://www.eu-startups.com/investor/neulogy-ventures/"
"Zero One Hundred","https://www.eu-startups.com/investor/zero-one-hundred-2/"
"Innovations and Technologies Fund (FIT)","https://www.eu-startups.com/investor/innovations-and-technologies-fund-fit/"
"Fond fondov","https://www.eu-startups.com/investor/fond-fondov/"
"365.fintech","https://www.eu-startups.com/investor/365-fintech-2/"
"Zero One Hundred","https://www.eu-startups.com/investor/zero-one-hundred/"
"Crowdberry","https://www.eu-startups.com/investor/crowdberry/"
"CB Investment Management","https://www.eu-startups.com/investor/cb-investment-management/"
"CB ESPRi","https://www.eu-startups.com/investor/cb-espri/"
"Growth Tech Ventures","https://www.eu-startups.com/investor/growth-tech-ventures/"
"Wanderer Capital","https://www.eu-startups.com/investor/wanderer-capital/"
"G-Force","https://www.eu-startups.com/investor/g-force/"
"Zee Prime Capital","https://www.eu-startups.com/investor/zee-prime-capital/"
"ValueTech Seed","https://www.eu-startups.com/investor/valuetech-seed/"
"365.fintech","https://www.eu-startups.com/investor/365-fintech/"
"Kolektor Ventures","https://www.eu-startups.com/investor/kolektor-ventures-2/"
"Launcher","https://www.eu-startups.com/investor/launcher/"
"HealthCareLab","https://www.eu-startups.com/investor/healthcarelab/"
"Civitta Slovakia","https://www.eu-startups.com/investor/civitta-slovakia/"
