name,link
"dappdetect","https://www.eu-startups.com/directory/dappdetect/"
"Maitreya Fields®","https://www.eu-startups.com/directory/maitreya-fields/"
"Natura Root Labs","https://www.eu-startups.com/directory/natura-root-labs/"
"AdCider","https://www.eu-startups.com/directory/adcider/"
"Toddlr","https://www.eu-startups.com/directory/toddlr/"
"AugforM","https://www.eu-startups.com/directory/augform/"
"way.express","https://www.eu-startups.com/directory/wayexpress/"
"Predicto","https://www.eu-startups.com/directory/predicto/"
"Olaboard","https://www.eu-startups.com/directory/olaboard/"
"GetMyLook","https://www.eu-startups.com/directory/getmylook/"
"Toddlr","https://www.eu-startups.com/directory/toddlr/"
"Total Responses","https://www.eu-startups.com/directory/total-responses/"
"3D OPEN DESIGN","https://www.eu-startups.com/directory/3d-open-design/"
"Health 4 Wealth","https://www.eu-startups.com/directory/health-4-wealth/"
"Enjoy N Prints","https://www.eu-startups.com/directory/enjoy-n-prints/"
"Seo Boost 24","https://www.eu-startups.com/directory/seo-boost-24/"
"ОТТО. ARTISTS","https://www.eu-startups.com/directory/%D0%9E%D0%A2%D0%A2%D0%9E-artists/"
"iVERY","https://www.eu-startups.com/directory/ivery/"
"BuddyGuard","https://www.eu-startups.com/directory/buddyguard/"
"Cineself","https://www.eu-startups.com/directory/cineself/"
"One2All.TV","https://www.eu-startups.com/directory/one2alltv/"
"finbryte","https://www.eu-startups.com/directory/finbryte/"
"DuloNode","https://www.eu-startups.com/directory/dulonode/"
"Neon Blue","https://www.eu-startups.com/directory/neon-blue/"
"The Atom Lab","https://www.eu-startups.com/directory/the-atom-lab/"
"pushr.io","https://www.eu-startups.com/directory/pushrio/"
"Overloop","https://www.eu-startups.com/directory/overloop/"
"BioStack Labs LLC","https://www.eu-startups.com/directory/biostack-labs-llc/"
"Web Gremlin","https://www.eu-startups.com/directory/web-gremlin/"
"ThemeSelection","https://www.eu-startups.com/directory/themeselection/"
"2456.ai","https://www.eu-startups.com/directory/2456ai/"
"SwiftLabs","https://www.eu-startups.com/directory/swiftlabs/"
"2456 AI","https://www.eu-startups.com/directory/2456-ai/"
"tappcard","https://www.eu-startups.com/directory/tappcard/"
"Seatpin","https://www.eu-startups.com/directory/seatpin/"
"FinDaS Tokenomics","https://www.eu-startups.com/directory/findas-tokenomics/"
"Vinghen","https://www.eu-startups.com/directory/vinghen/"
"DevCloud BG","https://www.eu-startups.com/directory/devcloud-bg/"
"CottonGins.org","https://www.eu-startups.com/directory/cottongins.org"
"GPU Cloud Pricing","https://www.eu-startups.com/directory/gpu-cloud-pricing/"
"Just AI News","https://www.eu-startups.com/directory/just-ai-news/"
"Jabka Skin","https://www.eu-startups.com/directory/jabka-skin/"
"APIRobots","https://www.eu-startups.com/directory/apirobots/"
"Icanpreneur","https://www.eu-startups.com/directory/icanpreneur/"
"Formswrite","https://www.eu-startups.com/directory/formswrite/"
"CEO Playbooks","https://www.eu-startups.com/directory/ceo-playbooks/"
"Top Marketing Funnels Directory","https://www.eu-startups.com/directory/top-marketing-funnels-directory/"
"Marketing SEO Directory","https://www.eu-startups.com/directory/marketing-seo-directory/"
"TAM Analyst","https://www.eu-startups.com/directory/tam-analyst/"
"FairyTales","https://www.eu-startups.com/directory/fairytales/"
"Pet Print","https://www.eu-startups.com/directory/pet-print/"
"Pingify","https://www.eu-startups.com/directory/pingify/"
"FreeIQTest.com","https://www.eu-startups.com/directory/freeiqtest.com"
"Doxify","https://www.eu-startups.com/directory/doxify/"
"Polygrai","https://www.eu-startups.com/directory/polygrai/"
"electronics.dev","https://www.eu-startups.com/directory/electronics.dev"
"ScavaSoft","https://www.eu-startups.com/directory/scavasoft/"
"HBS Consultancy","https://www.eu-startups.com/directory/hbs-consultancy/"
"Green Charger","https://www.eu-startups.com/directory/green-charger/"
"PrOPA by Shemha Health","https://www.eu-startups.com/directory/propa-by-shemha-health/"
"PossePay","https://www.eu-startups.com/directory/possepay/"
"AI Bulgaria","https://www.eu-startups.com/directory/ai-bulgaria/"
"AI Bulgaria","https://www.eu-startups.com/directory/ai-bulgaria/"
"Archway Finance","https://www.eu-startups.com/directory/archway-finance/"
"Magnimetrics","https://www.eu-startups.com/directory/magnimetrics/"
"ProsFit","https://www.eu-startups.com/directory/prosfit/"
"ThinkBastien","https://www.eu-startups.com/directory/thinkbastien-2/"
"Cosense OOD","https://www.eu-startups.com/directory/cosense-ood/"
"Scios.ai","https://www.eu-startups.com/directory/scios-ai/"
"Asystly","https://www.eu-startups.com/directory/asystly/"
"Perspective Unity","https://www.eu-startups.com/directory/perspective-unity/"
"ChangeX","https://www.eu-startups.com/directory/changex/"
"Stailor","https://www.eu-startups.com/directory/stailor/"
"MetaQuants","https://www.eu-startups.com/directory/metaquants/"
"Fynt","https://www.eu-startups.com/directory/fynt/"
"FoxCrop","https://www.eu-startups.com/directory/foxcrop/"
"FlatAway","https://www.eu-startups.com/directory/flataway/"
"Costimize","https://www.eu-startups.com/directory/costimize/"
"X Challenge Park","https://www.eu-startups.com/directory/x-challenge-park/"
"RobCo SWAT","https://www.eu-startups.com/directory/robco-swat/"
"SocialScore","https://www.eu-startups.com/directory/socialscore/"
"Speak up","https://www.eu-startups.com/directory/speak-up-whistleblower-protection-services/"
"VAT Calculator Worldwide","https://www.eu-startups.com/directory/vat-calculator-worldwide/"
"1SecondPainting","https://www.eu-startups.com/directory/1secondpainting/"
"Mediation Experts","https://www.eu-startups.com/directory/mediation-experts/"
"The Recursive","https://www.eu-startups.com/directory/the-recursive/"
"AGROVAR CC","https://www.eu-startups.com/directory/agrovar-cc/"
"Surveys.bg","https://www.eu-startups.com/directory/surveys-bg/"
"Softaware","https://www.eu-startups.com/directory/softaware/"
"SIX ERP","https://www.eu-startups.com/directory/six-erp/"
"Relaxify Ltd","https://www.eu-startups.com/directory/relaxify-ltd-2/"
"Push Marketplace","https://www.eu-startups.com/directory/push-marketplace/"
"PlanDelta","https://www.eu-startups.com/directory/plandelta/"
"Paytiko","https://www.eu-startups.com/directory/paytiko/"
"Multispace","https://www.eu-startups.com/directory/multispace/"
"MoonLabs","https://www.eu-startups.com/directory/moonlabs/"
"LayAlt","https://www.eu-startups.com/directory/layalt/"
"Kasta","https://www.eu-startups.com/directory/kasta/"
"Karavani.BG","https://www.eu-startups.com/directory/karavani-bg/"
"ATAMIQ","https://www.eu-startups.com/directory/atamiq/"
"health me","https://www.eu-startups.com/directory/health-me/"
"Fight Scout","https://www.eu-startups.com/directory/fight-scout/"
"ERC World","https://www.eu-startups.com/directory/erc-world/"
"DoggoCollar","https://www.eu-startups.com/directory/doggocollar/"
"DNA Marketing","https://www.eu-startups.com/directory/dna-marketing/"
"Dexycon","https://www.eu-startups.com/directory/dexycon/"
"PriceX","https://www.eu-startups.com/directory/pricex-ltd/"
"Augment Esports Technologies","https://www.eu-startups.com/directory/augment-esports-technologies/"
"1Crew","https://www.eu-startups.com/directory/1crew/"
"SM Dental Clinic","https://www.eu-startups.com/directory/sm-dental-clinic/"
"AGRA","https://www.eu-startups.com/directory/agra/"
"Yourbankservice.com","https://www.eu-startups.com/directory/yourbankservice-com/"
"Nanoacts","https://www.eu-startups.com/directory/nanoacts/"
"Sofia2Go","https://www.eu-startups.com/directory/sofia2go/"
"Foodobox","https://www.eu-startups.com/directory/foodobox/"
"Relaxify","https://www.eu-startups.com/directory/relaxify-ltd/"
"OMNIO","https://www.eu-startups.com/directory/omnio-2/"
"Gravlet","https://www.eu-startups.com/directory/gravlet/"
"eCommX","https://www.eu-startups.com/directory/ecommx/"
"Leckar","https://www.eu-startups.com/directory/leckar/"
"One2All","https://www.eu-startups.com/directory/one2all/"
"Quendoo","https://www.eu-startups.com/directory/quendoo/"
"Senstate Technologies","https://www.eu-startups.com/directory/senstate-technologies/"
"KnnectMe","https://www.eu-startups.com/directory/knnectme/"
"WHISP Health","https://www.eu-startups.com/directory/whisp-health/"
"QUARTAL Food Park","https://www.eu-startups.com/directory/quartal-food-park/"
"Hyperaspect.com","https://www.eu-startups.com/directory/hyperaspect-com/"
"WHISP","https://www.eu-startups.com/directory/whisp-2/"
"TouchMenu","https://www.eu-startups.com/directory/touchmenu/"
"Subscribe.bg","https://www.eu-startups.com/directory/subscribe-bg/"
"Scandia","https://www.eu-startups.com/directory/scandia/"
"Rush","https://www.eu-startups.com/directory/rush/"
"Re:benefit","https://www.eu-startups.com/directory/rebenefit/"
"Plovdiv Software","https://www.eu-startups.com/directory/plovdiv-software/"
"Pastiamo","https://www.eu-startups.com/directory/pastiamo/"
"NOESIS","https://www.eu-startups.com/directory/noesis/"
"MyCFO","https://www.eu-startups.com/directory/mycfo/"
"Ispolink","https://www.eu-startups.com/directory/ispolink/"
"Innovato Design","https://www.eu-startups.com/directory/innovato-design/"
"GONG Gaming","https://www.eu-startups.com/directory/gong-gaming/"
"Evolves Ltd.","https://www.eu-startups.com/directory/evolves-ltd/"
"Digiburn App: burnout self-help","https://www.eu-startups.com/directory/digiburn-app-burnout-self-help/"
"CryptoPerformance","https://www.eu-startups.com/directory/cryptoperformance/"
"Cloud Solutions","https://www.eu-startups.com/directory/cloud-solutions/"
"Cardinal Bites Ltd.","https://www.eu-startups.com/directory/cardinal-bites-ltd/"
"Caibo","https://www.eu-startups.com/directory/caibo/"
"Brain Foods","https://www.eu-startups.com/directory/brain-foods/"
"Apipax","https://www.eu-startups.com/directory/apipax/"
"algomotive","https://www.eu-startups.com/directory/algomotive/"
"7Arts","https://www.eu-startups.com/directory/7arts/"
"2Parts","https://www.eu-startups.com/directory/2parts/"
"Mindset Design","https://www.eu-startups.com/directory/mindset-design/"
"Onik Lab","https://www.eu-startups.com/directory/onik-lab/"
"ffstars","https://www.eu-startups.com/directory/ffstars/"
"Evolves","https://www.eu-startups.com/directory/evolves/"
"eCommX","https://www.eu-startups.com/directory/ecommx-2/"
"Dynamic Directions","https://www.eu-startups.com/directory/dynamic-directions/"
"Credefi","https://www.eu-startups.com/directory/credefi/"
"TOM Thermochromic","https://www.eu-startups.com/directory/tom-thermochromic/"
"2Beds.com","https://www.eu-startups.com/directory/2beds-com/"
"Camotrek","https://www.eu-startups.com/directory/camotrek/"
"3veta","https://www.eu-startups.com/directory/3veta/"
"Releva.ai","https://www.eu-startups.com/directory/releva-ai/"
"WHISP","https://www.eu-startups.com/directory/whisp/"
"Dots Mesh","https://www.eu-startups.com/directory/dots-mesh/"
"H.I.N.S.A.","https://www.eu-startups.com/directory/h-i-n-s-a-eood/"
"Orbital Connect","https://www.eu-startups.com/directory/orbital-connect/"
"Colibra","https://www.eu-startups.com/directory/colibra-3/"
"United Business Register","https://www.eu-startups.com/directory/united-business-register/"
"Swayde","https://www.eu-startups.com/directory/swayde/"
"Kelvin Health","https://www.eu-startups.com/directory/kelvin-health/"
"SeaScout","https://www.eu-startups.com/directory/seascout/"
"Datasy","https://www.eu-startups.com/directory/datasy/"
"Bimbala","https://www.eu-startups.com/directory/bimbala/"
"ONDO Smart Farming Solutions","https://www.eu-startups.com/directory/ondo-smart-farming-solutions-2/"
"TeachableHub","https://www.eu-startups.com/directory/teachablehub/"
"ZigiWave","https://www.eu-startups.com/directory/zigiwave/"
"Bye Bye Stuttering","https://www.eu-startups.com/directory/bye-bye-stuttering/"
"Tavan","https://www.eu-startups.com/directory/tavan/"
"Optiin","https://www.eu-startups.com/directory/optiin/"
"Next Solutions","https://www.eu-startups.com/directory/next-solutions/"
"Phoenix Point","https://www.eu-startups.com/directory/phoenix-point/"
"Ubitrack","https://www.eu-startups.com/directory/ubitrack/"
"MyEducationClub","https://www.eu-startups.com/directory/myeducationclub/"
"TrenerGo","https://www.eu-startups.com/directory/trenergo/"
"TokWise","https://www.eu-startups.com/directory/tokwise/"
"Prodigital","https://www.eu-startups.com/directory/prodigital/"
"OpenTag","https://www.eu-startups.com/directory/opentag/"
"Next Solutions Bulgaria","https://www.eu-startups.com/directory/next-solutions-bulgaria/"
