name,link
"Dawiso","https://www.eu-startups.com/directory/dawiso/"
"TimTodo","https://www.eu-startups.com/directory/timtodo/"
"Moneysky.app","https://www.eu-startups.com/directory/moneysky.app"
"Clickadu","https://www.eu-startups.com/directory/clickadu/"
"NeDieta","https://www.eu-startups.com/directory/nedieta/"
"můjBrand","https://www.eu-startups.com/directory/mujbrand/"
"PostFlow","https://www.eu-startups.com/directory/postflow/"
"Nadles","https://www.eu-startups.com/directory/nadles/"
"GuideGlare","https://www.eu-startups.com/directory/guideglare/"
"TeleStore","https://www.eu-startups.com/directory/telestore/"
"StudyLock","https://www.eu-startups.com/directory/studylock/"
"SHFT","https://www.eu-startups.com/directory/shft/"
"Recon Wave","https://www.eu-startups.com/directory/recon-wave/"
"BondUs.cz","https://www.eu-startups.com/directory/bonduscz/"
"Nonverbia","https://www.eu-startups.com/directory/nonverbia/"
"Adalid Sciences","https://www.eu-startups.com/directory/adalid-sciences/"
"Gamifit","https://www.eu-startups.com/directory/gamifit/"
"PalmApp","https://www.eu-startups.com/directory/palmapp/"
"UDX.aero","https://www.eu-startups.com/directory/udx.aero"
"PalDock","https://www.eu-startups.com/directory/paldock/"
"taskinfinity.com","https://www.eu-startups.com/directory/taskinfinity.com"
"Foodament","https://www.eu-startups.com/directory/foodament/"
"Time Slot Control","https://www.eu-startups.com/directory/time-slot-control/"
"10 Dots Only","https://www.eu-startups.com/directory/10-dots-only/"
"Hello.cv","https://www.eu-startups.com/directory/hellocv/"
"Eventee","https://www.eu-startups.com/directory/eventee/"
"Dailysports.net","https://www.eu-startups.com/directory/dailysports.net"
"Zenamu","https://www.eu-startups.com/directory/zenamu/"
"Bitzaro","https://www.eu-startups.com/directory/bitzaro/"
"Staclo.host","https://www.eu-startups.com/directory/staclo.host"
"Eventoly","https://www.eu-startups.com/directory/eventoly/"
"Vectorizedbrand","https://www.eu-startups.com/directory/vectorizedbrand/"
"BidWizard s.r.o.","https://www.eu-startups.com/directory/bidwizard-sro/"
"Mi búðin","https://www.eu-startups.com/directory/mi-budin/"
"Blindspot Technologies s.r.o.","https://www.eu-startups.com/directory/blindspot-technologies-sro/"
"Talsec","https://www.eu-startups.com/directory/talsec/"
"Festapp","https://www.eu-startups.com/directory/festapp/"
"Plantee Innovations","https://www.eu-startups.com/directory/plantee-innovations/"
"ELLIO Technology","https://www.eu-startups.com/directory/ellio-technology/"
"DecisionRules.io","https://www.eu-startups.com/directory/decisionrulesio/"
"ccflow.ai","https://www.eu-startups.com/directory/ccflowai/"
"LibiWeb Digital","https://www.eu-startups.com/directory/libiweb-digital/"
"Aba Search and Replace","https://www.eu-startups.com/directory/aba-search-and-replace/"
"AMZ Downloader","https://www.eu-startups.com/directory/amz-downloader/"
"WebSemaphore","https://www.eu-startups.com/directory/websemaphore/"
"Dibsido","https://www.eu-startups.com/directory/ofisly/"
"Flow Nutrition","https://www.eu-startups.com/directory/flow-nutrition/"
"Same Place s.r.o.","https://www.eu-startups.com/directory/same-place-sro/"
"Tabidoo","https://www.eu-startups.com/directory/tabidoo/"
"Handie","https://www.eu-startups.com/directory/handie/"
"RoarFun","https://www.eu-startups.com/directory/roarfun/"
"B2BNitro","https://www.eu-startups.com/directory/b2bnitro/"
"AI Recruitment","https://www.eu-startups.com/directory/ai-recruitment/"
"Center for Behavioral Decisions","https://www.eu-startups.com/directory/center-for-behavioral-decisions/"
"Vitadio","https://www.eu-startups.com/directory/vitadio/"
"Better Stack","https://www.eu-startups.com/directory/better-stack/"
"Readmio","https://www.eu-startups.com/directory/readmio/"
"Stratosyst","https://www.eu-startups.com/directory/stratosyst/"
"Devart","https://www.eu-startups.com/directory/devart/"
"RRPFX","https://www.eu-startups.com/directory/rrpfx/"
"Cloud Cost Compression","https://www.eu-startups.com/directory/cloud-cost-compression/"
"Spurr","https://www.eu-startups.com/directory/spurr/"
"Trackdesk","https://www.eu-startups.com/directory/trackdesk/"
"Kardi AI","https://www.eu-startups.com/directory/kardi-ai/"
"Stackopera","https://www.eu-startups.com/directory/stackopera/"
"Wewell","https://www.eu-startups.com/directory/wewell/"
"Climatica","https://www.eu-startups.com/directory/climatica/"
"Kangelo","https://www.eu-startups.com/directory/kangelo/"
"Roboauto","https://www.eu-startups.com/directory/roboauto-s-r-o/"
"Nelisa","https://www.eu-startups.com/directory/nelisa/"
"Rei Publicae","https://www.eu-startups.com/directory/rei-publicae/"
"Bulios","https://www.eu-startups.com/directory/bulios/"
"Birdwingo","https://www.eu-startups.com/directory/birdwingo/"
"Byrssa Ventures","https://www.eu-startups.com/directory/byrssa-ventures/"
"AI|ffinity s.r.o.","https://www.eu-startups.com/directory/aiffinity-s-r-o/"
"Tolgee","https://www.eu-startups.com/directory/tolgee-2/"
"Cheho","https://www.eu-startups.com/directory/cheho/"
"Molki Vision","https://www.eu-startups.com/directory/molki-vision/"
"Selfplanner","https://www.eu-startups.com/directory/selfplanner/"
"Smartin Framework","https://www.eu-startups.com/directory/smartin-framework/"
"BOUND","https://www.eu-startups.com/directory/bound/"
"Ageware","https://www.eu-startups.com/directory/ageware/"
"AeskuLab","https://www.eu-startups.com/directory/aeskulab/"
"Tolgee","https://www.eu-startups.com/directory/tolgee/"
"swifttalk.me","https://www.eu-startups.com/directory/swifttalk-me/"
"MeetyMeety","https://www.eu-startups.com/directory/meetymeety/"
"Holdybot","https://www.eu-startups.com/directory/holdybot-2/"
"DataLead","https://www.eu-startups.com/directory/datalead/"
"JOB#1","https://www.eu-startups.com/directory/job1/"
"Mewery","https://www.eu-startups.com/directory/mewery/"
"Carebot","https://www.eu-startups.com/directory/carebot/"
"Almost Friday Events","https://www.eu-startups.com/directory/almost-friday-events/"
"1-energy","https://www.eu-startups.com/directory/1-energy/"
"Fintree","https://www.eu-startups.com/directory/fintree/"
"Camperguru","https://www.eu-startups.com/directory/camperguru/"
"Aroha Labs","https://www.eu-startups.com/directory/aroha-labs/"
"Fiduciary Labs","https://www.eu-startups.com/directory/fiduciary-labs/"
"Instamatic","https://www.eu-startups.com/directory/instamatic/"
"Closr","https://www.eu-startups.com/directory/closr/"
"IKISEQ","https://www.eu-startups.com/directory/ikiseq/"
"Notionery","https://www.eu-startups.com/directory/notionery/"
"Leitners Watch","https://www.eu-startups.com/directory/leitners-watch/"
"AhoyTeam","https://www.eu-startups.com/directory/ahoyteam/"
"Namíru Solutions","https://www.eu-startups.com/directory/namiru-solutions/"
"Hedepy","https://www.eu-startups.com/directory/hedepy/"
"Localazy","https://www.eu-startups.com/directory/localazy/"
"Booke.ai","https://www.eu-startups.com/directory/booke-ai/"
"Superface","https://www.eu-startups.com/directory/superface/"
"GuardIoT","https://www.eu-startups.com/directory/guardiot/"
"Product Fruits","https://www.eu-startups.com/directory/product-fruits/"
