name,link
"Dandelier AI","https://www.eu-startups.com/directory/dandelier-ai/"
"Clarvo","https://www.eu-startups.com/directory/clarvo/"
"NicheRadar","https://www.eu-startups.com/directory/nicheradar/"
"Halide Energy","https://www.eu-startups.com/directory/halide-energy/"
"The Creative Corner","https://www.eu-startups.com/directory/the-creative-corner/"
"Nomain","https://www.eu-startups.com/directory/nomain/"
"Clinexus","https://www.eu-startups.com/directory/clinexus/"
"Vesko","https://www.eu-startups.com/directory/vesko/"
"CatwalkCraft AI","https://www.eu-startups.com/directory/catwalkcraft-ai/"
"a better monday","https://www.eu-startups.com/directory/a-better-monday/"
"Dundee ID","https://www.eu-startups.com/directory/dundee-id/"
"Bondsio","https://www.eu-startups.com/directory/bondsio/"
"Epic Scape","https://www.eu-startups.com/directory/epic-scape/"
"thinnan","https://www.eu-startups.com/directory/thinnan/"
"GreenFi","https://www.eu-startups.com/directory/greenfi/"
"Lejit","https://www.eu-startups.com/directory/lejit/"
"Preloved Coffee","https://www.eu-startups.com/directory/preloved-coffee/"
"Coubonga","https://www.eu-startups.com/directory/coubonga/"
"The Warming Surfaces Company Ltd","https://www.eu-startups.com/directory/the-warming-surfaces-company-ltd/"
"eWatt Smart Power Systems","https://www.eu-startups.com/directory/ewatt-smart-power-systems/"
"dentcense","https://www.eu-startups.com/directory/dentcense/"
"Bout","https://www.eu-startups.com/directory/bout/"
"Executive Functioning","https://www.eu-startups.com/directory/executive-functioning/"
"Produktly","https://www.eu-startups.com/directory/produktly/"
"Starstuff","https://www.eu-startups.com/directory/starstuff/"
"octofy","https://www.eu-startups.com/directory/octofy/"
"ikkio","https://www.eu-startups.com/directory/ikkio/"
"Ray Browser","https://www.eu-startups.com/directory/ray-browser/"
"Matrix Destiny Chart","https://www.eu-startups.com/directory/matrix-destiny-chart/"
"Medbiolab Europe","https://www.eu-startups.com/directory/medbiolab-europe/"
"OliOil.iO","https://www.eu-startups.com/directory/olioilio/"
"In Parallel","https://www.eu-startups.com/directory/in-parallel/"
"Finala Oy","https://www.eu-startups.com/directory/finala-oy/"
"IOVuo Oy","https://www.eu-startups.com/directory/iovuo-oy/"
"Sketch To Image","https://www.eu-startups.com/directory/sketch-to-image/"
"Latin Flavors","https://www.eu-startups.com/directory/latin-flavors/"
"Aksu","https://www.eu-startups.com/directory/aksu/"
"Wudpecker","https://www.eu-startups.com/directory/wudpecker/"
"Odown","https://www.eu-startups.com/directory/odown/"
"Hubrank","https://www.eu-startups.com/directory/hubrank/"
"Todopedia","https://www.eu-startups.com/directory/todopedia/"
"Sunny Kind Journey","https://www.eu-startups.com/directory/sunny-kind-journey/"
"Skyfora","https://www.eu-startups.com/directory/skyfora/"
"CeLLife","https://www.eu-startups.com/directory/cellife/"
"Löytö App","https://www.eu-startups.com/directory/loyto-app/"
"Arctic Farming","https://www.eu-startups.com/directory/arctic-farming/"
"1080 Coaching","https://www.eu-startups.com/directory/1080-coaching/"
"Winse Power","https://www.eu-startups.com/directory/winse-power/"
"Robosharing","https://www.eu-startups.com/directory/robosharing/"
"NinjaLABO","https://www.eu-startups.com/directory/ninjalabo/"
"Ioncell","https://www.eu-startups.com/directory/ioncell/"
"iLu Space","https://www.eu-startups.com/directory/ilu-space/"
"iconicchain","https://www.eu-startups.com/directory/iconicchain/"
"Exercio","https://www.eu-startups.com/directory/exercio/"
"Neuwo","https://www.eu-startups.com/directory/neuwo/"
"RELEX Solutions","https://www.eu-startups.com/directory/relex-solutions/"
"Linio Biotech","https://www.eu-startups.com/directory/linio-biotech/"
"SpinDrive","https://www.eu-startups.com/directory/spindrive/"
"Kausal","https://www.eu-startups.com/directory/kausal/"
"Klu","https://www.eu-startups.com/directory/klu/"
"Capalo AI","https://www.eu-startups.com/directory/capalo-ai/"
"Saidot","https://www.eu-startups.com/directory/saidot/"
"Sooma Medical","https://www.eu-startups.com/directory/sooma-medical/"
"Spectarium Games","https://www.eu-startups.com/directory/spectarium-games/"
"Mjuk","https://www.eu-startups.com/directory/mjuk/"
"NPHarvest","https://www.eu-startups.com/directory/npharvest/"
"Paptic","https://www.eu-startups.com/directory/paptic/"
"Helsinki","https://www.eu-startups.com/directory/helsinki/"
"Albimarketing","https://www.eu-startups.com/directory/albimarketing/"
"Aimiten","https://www.eu-startups.com/directory/aimiten/"
"Aila.Earth","https://www.eu-startups.com/directory/ailaearth/"
"StuDisco","https://www.eu-startups.com/directory/studisco/"
"KLiin","https://www.eu-startups.com/directory/kliin/"
"NKINDLE","https://www.eu-startups.com/directory/nkindle/"
"Kniteco","https://www.eu-startups.com/directory/kniteco/"
"Lincoln School","https://www.eu-startups.com/directory/lincoln-school/"
"Klu Technologies","https://www.eu-startups.com/directory/klu-technologies/"
"Foxie.ai","https://www.eu-startups.com/directory/foxieai/"
"ProApp","https://www.eu-startups.com/directory/proapp/"
"Workify","https://www.eu-startups.com/directory/workify/"
"Aveksana","https://www.eu-startups.com/directory/aveksana/"
"SELLAI","https://www.eu-startups.com/directory/sellai/"
"Camping Kiviniemi","https://www.eu-startups.com/directory/camping-kiviniemi/"
"ReFaMo","https://www.eu-startups.com/directory/refamo/"
"Bargn","https://www.eu-startups.com/directory/bargn/"
"Daze","https://www.eu-startups.com/directory/daze/"
"MediVerse Technologies OY","https://www.eu-startups.com/directory/mediverse-technologies-oy/"
"Groundhawk","https://www.eu-startups.com/directory/groundhawk/"
"Best Freelancer Script","https://www.eu-startups.com/directory/best-freelancer-script/"
"Feedback Rivers","https://www.eu-startups.com/directory/feedback-rivers/"
"SALATEQ Ltd.","https://www.eu-startups.com/directory/salateq-ltd/"
"Apukuski","https://www.eu-startups.com/directory/apukuski/"
"Data Taps","https://www.eu-startups.com/directory/data-taps/"
"GameLayer","https://www.eu-startups.com/directory/gamelayer/"
"Measurlabs","https://www.eu-startups.com/directory/measurlabs/"
"Draivi","https://www.eu-startups.com/directory/draivi/"
"DM words","https://www.eu-startups.com/directory/dm-words/"
"CloEE","https://www.eu-startups.com/directory/cloee/"
"Stayify Ltd","https://www.eu-startups.com/directory/stayify-ltd/"
"Kwizie","https://www.eu-startups.com/directory/kwizie/"
"scope.money","https://www.eu-startups.com/directory/scope-money/"
"SemiQon","https://www.eu-startups.com/directory/semiqon/"
"Clickfeed","https://www.eu-startups.com/directory/clickfeed/"
"Hiil Ltd.","https://www.eu-startups.com/directory/hiil-ltd/"
"Heartnet","https://www.eu-startups.com/directory/heartnet/"
"Carbonaide","https://www.eu-startups.com/directory/carbonaide/"
"apiable.io","https://www.eu-startups.com/directory/apiable-io/"
"Five Letter Foods","https://www.eu-startups.com/directory/five-letter-foods/"
"Enreport","https://www.eu-startups.com/directory/enreport/"
"Chargerdata","https://www.eu-startups.com/directory/chargerdata/"
"AddNow","https://www.eu-startups.com/directory/addnow/"
"HeiTech Ltd (Hei.io)","https://www.eu-startups.com/directory/heitech-ltd-hei-io/"
"18Wheels","https://www.eu-startups.com/directory/18wheels/"
"BoxBox","https://www.eu-startups.com/directory/boxbox/"
"Codefox","https://www.eu-startups.com/directory/codefox/"
"InspectWise","https://www.eu-startups.com/directory/inspectwise-ltd/"
"Inven","https://www.eu-startups.com/directory/inven/"
"Dipsy","https://www.eu-startups.com/directory/dipsy/"
"Onego Bio","https://www.eu-startups.com/directory/onego-bio/"
"Oinride Oy","https://www.eu-startups.com/directory/oinride-oy/"
"Reveel","https://www.eu-startups.com/directory/reveel/"
"reconfigured","https://www.eu-startups.com/directory/reconfigured/"
"Sitobit","https://www.eu-startups.com/directory/sitobit/"
"NADMED","https://www.eu-startups.com/directory/nadmed/"
"Munchi","https://www.eu-startups.com/directory/munchi/"
"Sustainable Space Economy","https://www.eu-startups.com/directory/sustainable-space-economy/"
"Synergi","https://www.eu-startups.com/directory/synergi/"
"Tribo Games","https://www.eu-startups.com/directory/tribo-games/"
"Makea Games","https://www.eu-startups.com/directory/makea-games/"
"Leapto","https://www.eu-startups.com/directory/leapto/"
"Sauti Kitabu","https://www.eu-startups.com/directory/sauti-kitabu/"
"ShadowKitchen","https://www.eu-startups.com/directory/shadowkitchen/"
"Wonsta","https://www.eu-startups.com/directory/wonsta/"
"Kiisec","https://www.eu-startups.com/directory/kiisec/"
"AIVisionEye","https://www.eu-startups.com/directory/aivisioneye/"
"GoStartup Osakeyhtiö","https://www.eu-startups.com/directory/gostartup-osakeyhtio/"
"Neovolt","https://www.eu-startups.com/directory/neovolt/"
"kivi","https://www.eu-startups.com/directory/kivi/"
"Narvi Payments oy AB","https://www.eu-startups.com/directory/narvi-payments-oy-ab/"
"Tira","https://www.eu-startups.com/directory/tira-2/"
"Fudge Token","https://www.eu-startups.com/directory/fudge-token/"
"Narvi Pay","https://www.eu-startups.com/directory/narvi-pay/"
"Maildock.io","https://www.eu-startups.com/directory/maildock-io/"
"Hillava","https://www.eu-startups.com/directory/hillava/"
"Hireproof","https://www.eu-startups.com/directory/hireproof/"
"Nordic Nomads","https://www.eu-startups.com/directory/nordic-nomads/"
"Formup","https://www.eu-startups.com/directory/formup/"
"Pixieray","https://www.eu-startups.com/directory/pixieray/"
"Quantrol Ox","https://www.eu-startups.com/directory/quantrol-ox/"
"Raahe Guide","https://www.eu-startups.com/directory/raahe-guide/"
"DaySave","https://www.eu-startups.com/directory/daysave/"
"Social First","https://www.eu-startups.com/directory/social-first/"
"Cortex","https://www.eu-startups.com/directory/cortex/"
"Comparables.ai","https://www.eu-startups.com/directory/comparables-ai/"
"StemSight","https://www.eu-startups.com/directory/stemsight/"
"The Adjacent Possible","https://www.eu-startups.com/directory/the-adjacent-possible/"
"Brightlife","https://www.eu-startups.com/directory/brightlife/"
"Tira","https://www.eu-startups.com/directory/tira/"
"WasteTrade Finland","https://www.eu-startups.com/directory/wastetrade-finland/"
"AppSec Santa","https://www.eu-startups.com/directory/appsec-santa/"
"Ample","https://www.eu-startups.com/directory/ample-2/"
"Ambine","https://www.eu-startups.com/directory/ambine/"
"Binkiapp","https://www.eu-startups.com/directory/binkiapp/"
"Membrane Finance","https://www.eu-startups.com/directory/membrane-finance/"
"Cactos","https://www.eu-startups.com/directory/cactos/"
"GBLUESEA","https://www.eu-startups.com/directory/gbluesea/"
"Coiniverse","https://www.eu-startups.com/directory/coiniverse/"
"FinanceKey","https://www.eu-startups.com/directory/financekey/"
"Ninyes","https://www.eu-startups.com/directory/ninyes-inc/"
"Quanscient","https://www.eu-startups.com/directory/quanscient-2/"
"Upsy Company","https://www.eu-startups.com/directory/upsy-company/"
"Komu Homes","https://www.eu-startups.com/directory/komu-homes/"
"Hiven Energy","https://www.eu-startups.com/directory/hiven-energy/"
"Glostars","https://www.eu-startups.com/directory/glostars/"
"FlowGait","https://www.eu-startups.com/directory/flowgait/"
"Finnrunner","https://www.eu-startups.com/directory/finnrunner/"
"Dynava","https://www.eu-startups.com/directory/dynava/"
"Huuva","https://www.eu-startups.com/directory/huuva/"
"InvestPost.com","https://www.eu-startups.com/directory/investpost-com/"
"Lingoes.ai","https://www.eu-startups.com/directory/lingoes-ai/"
"Nordic Umami Company","https://www.eu-startups.com/directory/nordic-umami-company/"
"North Advisors","https://www.eu-startups.com/directory/north-advisors/"
"Quanscient","https://www.eu-startups.com/directory/quanscient/"
"Deep Sensing Algorithms","https://www.eu-startups.com/directory/deep-sensing-algorithms/"
"Port 6","https://www.eu-startups.com/directory/port-6/"
"TIME2WALL","https://www.eu-startups.com/directory/time2wall/"
"Boom Corp","https://www.eu-startups.com/directory/boom-corp/"
"Etene","https://www.eu-startups.com/directory/etene/"
"Flowrite","https://www.eu-startups.com/directory/flowrite/"
"Stealth Black","https://www.eu-startups.com/directory/stealth-black/"
"Firstbeat Analytics","https://www.eu-startups.com/directory/firstbeat-analytics/"
"REDi Ai","https://www.eu-startups.com/directory/redi-ai/"
"IQM Quantum Computers","https://www.eu-startups.com/directory/iqm-quantum-computers/"
"myPlane","https://www.eu-startups.com/directory/myplane/"
"Evergreen","https://www.eu-startups.com/directory/evergreen/"
"Binare","https://www.eu-startups.com/directory/binare/"
"Mattermore","https://www.eu-startups.com/directory/mattermore/"
"FlyMaas","https://www.eu-startups.com/directory/flymaas/"
"Redkik","https://www.eu-startups.com/directory/redkik/"
"Veri","https://www.eu-startups.com/directory/veri/"
"eBrands","https://www.eu-startups.com/directory/ebrands/"
"Lygg","https://www.eu-startups.com/directory/lygg/"
"Goto-Sportwear","https://www.eu-startups.com/directory/goto-sportwear/"
"GoByBike","https://www.eu-startups.com/directory/gobybike/"
"Order of Meta","https://www.eu-startups.com/directory/order-of-meta/"
