name,link
"Tracker – Manager for Bluesky","https://www.eu-startups.com/directory/tracker-manager-for-bluesky/"
"MaterDome","https://www.eu-startups.com/directory/materdome/"
"New Era Hotels","https://www.eu-startups.com/directory/new-era-hotels/"
"Cabins Sleeping","https://www.eu-startups.com/directory/cabins-sleeping/"
"Levart App","https://www.eu-startups.com/directory/levart-app/"
"Uplodio","https://www.eu-startups.com/directory/uplodio/"
"AfterSalesPro","https://www.eu-startups.com/directory/aftersalespro/"
"Tenkai Tech","https://www.eu-startups.com/directory/tenkai-tech/"
"AviSense.ai","https://www.eu-startups.com/directory/avisense-ai/"
"AlongRoute Data","https://www.eu-startups.com/directory/alongroute-data/"
"Boat4all.gr","https://www.eu-startups.com/directory/boat4allgr/"
"Olivea","https://www.eu-startups.com/directory/olivea/"
"Startup Founders Club","https://www.eu-startups.com/directory/startup-founders-club/"
"Unireview","https://www.eu-startups.com/directory/unireview/"
"Vendora","https://www.eu-startups.com/directory/vendora/"
"Meetie","https://www.eu-startups.com/directory/meetie/"
"Magicdoor.ai","https://www.eu-startups.com/directory/magicdoorai/"
"makdrone","https://www.eu-startups.com/directory/makdrone/"
"Verus+ Information Systems","https://www.eu-startups.com/directory/verus-information-systems/"
"Ferry Ports","https://www.eu-startups.com/directory/ferry-ports/"
"Keragon","https://www.eu-startups.com/directory/keragon/"
"SOTIRIA Technology","https://www.eu-startups.com/directory/sotiria-technology/"
"Nutrifolio","https://www.eu-startups.com/directory/nutrifolio/"
"DOBE.io","https://www.eu-startups.com/directory/dobeio/"
"No Scrubs","https://www.eu-startups.com/directory/no-scrubs/"
"LandTrust","https://www.eu-startups.com/directory/landtrust/"
"Harbor Lab","https://www.eu-startups.com/directory/harbor-lab/"
"SANDY TZATZOU","https://www.eu-startups.com/directory/sandy-tzatzou/"
"Inomofloating","https://www.eu-startups.com/directory/inomofloating/"
"Nereus Digital Bunkers","https://www.eu-startups.com/directory/nereus-digital-bunkers/"
"Mood: Music of our Desire","https://www.eu-startups.com/directory/mood-music-of-our-desire/"
"Metabio","https://www.eu-startups.com/directory/metabio/"
"eThesis","https://www.eu-startups.com/directory/ethesis/"
"Peace by Peas","https://www.eu-startups.com/directory/peace-by-peas/"
"Car Experts","https://www.eu-startups.com/directory/car-experts/"
"Whoopee","https://www.eu-startups.com/directory/whoopee/"
"Travelr","https://www.eu-startups.com/directory/travelr/"
"KRIXAIR","https://www.eu-startups.com/directory/krixair/"
"LUNAR CARGO (ΕΛΛΗΝΙΚΑ ΣΕΛΗΝΟΔΡΟΜΙΑ)","https://www.eu-startups.com/directory/lunar-cargo-%CE%95%CE%9B%CE%9B%CE%97%CE%9D%CE%99%CE%9A%CE%91-%CE%A3%CE%95%CE%9B%CE%97%CE%9D%CE%9F%CE%94%CE%A1%CE%9F%CE%9C%CE%99%CE%91/"
"Voice Logica AI","https://www.eu-startups.com/directory/voice-logica-ai/"
"Thessal360 Eco-tours","https://www.eu-startups.com/directory/thessal360-eco-tours/"
"Snapcar","https://www.eu-startups.com/directory/snapcar/"
"Takeback Studios","https://www.eu-startups.com/directory/takeback-studios/"
"mobiplus AI","https://www.eu-startups.com/directory/mobiplus-ai/"
"Keyfev","https://www.eu-startups.com/directory/keyfev/"
"Aeroscroll","https://www.eu-startups.com/directory/aeroscroll/"
"CityCrop Automated Indoor Farming","https://www.eu-startups.com/directory/citycrop-automated-indoor-farming/"
