name,link
"beeco","https://www.eu-startups.com/directory/beeco/"
"No Planet B Travel with B","https://www.eu-startups.com/directory/no-planet-b-travel-with-b/"
"LynXes Innovation","https://www.eu-startups.com/directory/lynxes-innovation/"
"Cascade Event System","https://www.eu-startups.com/directory/cascade-event-system/"
"NEO Antigen","https://www.eu-startups.com/directory/neo-antigen/"
"GuardenAI","https://www.eu-startups.com/directory/guardenai/"
"Meter-reader.com","https://www.eu-startups.com/directory/meter-reader.com"
"SentNotes","https://www.eu-startups.com/directory/sentnotes/"
"AIGardenPlanner","https://www.eu-startups.com/directory/aigardenplanner/"
"Zümi Technology","https://www.eu-startups.com/directory/zumi-technology/"
"Touristas","https://www.eu-startups.com/directory/touristas/"
"GeniusAI","https://www.eu-startups.com/directory/geniusai/"
"RoLink Biotechnology Kft.","https://www.eu-startups.com/directory/rolink-biotechnology-kft/"
"Puzl CowOrKing Budapest","https://www.eu-startups.com/directory/puzl-coworking-budapest/"
"Sentivisor","https://www.eu-startups.com/directory/sentivisor/"
"IndieVoice","https://www.eu-startups.com/directory/indievoice/"
"Snazzy Send","https://www.eu-startups.com/directory/snazzy-send/"
"GDPRing","https://www.eu-startups.com/directory/gdpring/"
"Diverzum","https://www.eu-startups.com/directory/diverzum/"
"ARport Hungary","https://www.eu-startups.com/directory/arport-hungary/"
"Surviot","https://www.eu-startups.com/directory/surviot/"
"Redmenta","https://www.eu-startups.com/directory/redmenta/"
"LikesSpace","https://www.eu-startups.com/directory/likesspace/"
"iBookr","https://www.eu-startups.com/directory/ibookr/"
"Healmindset","https://www.eu-startups.com/directory/healmindset/"
"FiREG","https://www.eu-startups.com/directory/fireg/"
"Cégjelző","https://www.eu-startups.com/directory/cegjelzo/"
"sight-E","https://www.eu-startups.com/directory/sight-e/"
"Lazy Felix","https://www.eu-startups.com/directory/lazy-felix/"
"Splinker","https://www.eu-startups.com/directory/splinker/"
"Voovo","https://www.eu-startups.com/directory/voovo/"
"BLOCK","https://www.eu-startups.com/directory/block/"
"IT-c","https://www.eu-startups.com/directory/it-c/"
"Api Brew","https://www.eu-startups.com/directory/api-brew/"
"Agrosentinels Ltd.","https://www.eu-startups.com/directory/agrosentinels-ltd/"
"BDAT Solutions Ltd.","https://www.eu-startups.com/directory/bdat-solutions-ltd/"
"iOKOS Corp","https://www.eu-startups.com/directory/iokos-corp/"
"Viraing International Trading Kft.","https://www.eu-startups.com/directory/viraing-international-trading-kft/"
"Babyndex","https://www.eu-startups.com/directory/babyndex/"
"AgilePR","https://www.eu-startups.com/directory/agilepr/"
"Skyint Ltd.","https://www.eu-startups.com/directory/skyint-ltd/"
"Proofminder","https://www.eu-startups.com/directory/proofminder/"
"Enterfor","https://www.eu-startups.com/directory/enterfor/"
"Axoflow","https://www.eu-startups.com/directory/axoflow/"
"Soke Fashion","https://www.eu-startups.com/directory/soke-fashion/"
"Innoway R&D Kft.","https://www.eu-startups.com/directory/innoway-rd-kft/"
"Voovo","https://www.eu-startups.com/directory/voovo/"
"CarboHyde","https://www.eu-startups.com/directory/carbohyde/"
"scoutlabs","https://www.eu-startups.com/directory/smapplab/"
"Filuta AI","https://www.eu-startups.com/directory/filuta-ai/"
"BugProve","https://www.eu-startups.com/directory/bugprove/"
"MyPSIndex","https://www.eu-startups.com/directory/mypsindex/"
"AIP Hungary","https://www.eu-startups.com/directory/aip-hungary/"
"Gilinda","https://www.eu-startups.com/directory/gilinda/"
"Sinegon","https://www.eu-startups.com/directory/sinegon/"
