name,link
"Zoidii","https://www.eu-startups.com/directory/zoidii/"
"Holedo","https://www.eu-startups.com/directory/holedo/"
"Roamr","https://www.eu-startups.com/directory/roamr/"
"linkjob.ai","https://www.eu-startups.com/directory/linkjobai/"
"Conjura","https://www.eu-startups.com/directory/conjura/"
"Tuarity","https://www.eu-startups.com/directory/tuarity/"
"Nexus Inclusion","https://www.eu-startups.com/directory/nexus-inclusion/"
"Venture8 AI","https://www.eu-startups.com/directory/venture8-ai/"
"Server Scheduler","https://www.eu-startups.com/directory/server-scheduler/"
"Coso.ai","https://www.eu-startups.com/directory/cosoai/"
"With Everly","https://www.eu-startups.com/directory/with-everly/"
"WHYZE Health","https://www.eu-startups.com/directory/whyze-health/"
"Samanta","https://www.eu-startups.com/directory/samanta/"
"Authentic Health","https://www.eu-startups.com/directory/authentic-health/"
"Bean Around","https://www.eu-startups.com/directory/bean-around/"
"Microdoc","https://www.eu-startups.com/directory/microdoc/"
"Mind Compass AI","https://www.eu-startups.com/directory/mind-compass-ai/"
"TNB Skin Care","https://www.eu-startups.com/directory/tnb-skin-care/"
"Nomad Hub","https://www.eu-startups.com/directory/nomad-hub/"
"Uoto","https://www.eu-startups.com/directory/uoto/"
"Kewve","https://www.eu-startups.com/directory/kewve/"
"Genotrial","https://www.eu-startups.com/directory/genotrial/"
"Brighter Days","https://www.eu-startups.com/directory/brighter-days/"
"Rocket Education Rewards","https://www.eu-startups.com/directory/rocket-education-rewards/"
"Spinlio","https://www.eu-startups.com/directory/spinlio/"
"Emitrix","https://www.eu-startups.com/directory/emitrix/"
"Ogma","https://www.eu-startups.com/directory/ogma/"
"Pleaze","https://www.eu-startups.com/directory/pleaze/"
"BitRewriter","https://www.eu-startups.com/directory/bitrewriter/"
"23 Tasks to Weight Loss","https://www.eu-startups.com/directory/23-tasks-to-weight-loss/"
"SalaryAfterTax.com","https://www.eu-startups.com/directory/salaryaftertax.com"
"Dublin Maths","https://www.eu-startups.com/directory/dublin-maths/"
"Lingoodle Learning","https://www.eu-startups.com/directory/lingoodle-learning/"
"Reactable AI","https://www.eu-startups.com/directory/reactable-ai/"
"Vikapic","https://www.eu-startups.com/directory/vikapic/"
"WASP Technologies","https://www.eu-startups.com/directory/wasp-technologies/"
"Sprunki","https://www.eu-startups.com/directory/sprunki/"
"SkillsTrust","https://www.eu-startups.com/directory/skillstrust/"
"Mind Compass AI","https://www.eu-startups.com/directory/mind-compass-ai/"
