name,link
"Traininpink","https://www.eu-startups.com/directory/traininpink/"
"Renovo srl","https://www.eu-startups.com/directory/renovo-srl-2/"
"GridShare","https://www.eu-startups.com/directory/gridshare/"
"ChatGPT Logo","https://www.eu-startups.com/directory/chatgpt-logo/"
"Top Advisor","https://www.eu-startups.com/directory/top-advisor/"
"Cubish","https://www.eu-startups.com/directory/cubish/"
"Xwanderlust","https://www.eu-startups.com/directory/xwanderlust/"
"TheBellBoy srl.","https://www.eu-startups.com/directory/thebellboy-srl/"
"Cora","https://www.eu-startups.com/directory/cora/"
"ALOE","https://www.eu-startups.com/directory/aloe/"
"ArtCentrica","https://www.eu-startups.com/directory/artcentrica/"
"DGtalguide","https://www.eu-startups.com/directory/dgtalguide/"
"The Parks Brand","https://www.eu-startups.com/directory/the-parks-brand/"
"LITLYX","https://www.eu-startups.com/directory/litlyx/"
"IoTag","https://www.eu-startups.com/directory/iotag/"
"Capital AI srl","https://www.eu-startups.com/directory/capital-ai-srl/"
"Lara Translate","https://www.eu-startups.com/directory/lara-translate/"
"BCA Group","https://www.eu-startups.com/directory/bca-group/"
"BCA Group","https://www.eu-startups.com/directory/bca-group/"
"Reconstruct","https://www.eu-startups.com/directory/reconstruct/"
"Renovo","https://www.eu-startups.com/directory/renovo/"
"ScootOver","https://www.eu-startups.com/directory/scootover/"
"HuKnow | Human Knowledge online now","https://www.eu-startups.com/directory/huknow-human-knowledge-online-now/"
"Eloisa Technologies","https://www.eu-startups.com/directory/eloisa-technologies/"
"LF EduTech","https://www.eu-startups.com/directory/lf-edutech/"
"Sentric","https://www.eu-startups.com/directory/sentric/"
"WeShort","https://www.eu-startups.com/directory/weshort/"
"THE HOUSE FARMER","https://www.eu-startups.com/directory/the-house-farmer/"
"Myndoor","https://www.eu-startups.com/directory/myndoor/"
"Sea the Change","https://www.eu-startups.com/directory/sea-the-change/"
"ISUAL","https://www.eu-startups.com/directory/isual/"
"Finanz","https://www.eu-startups.com/directory/finanz/"
"Discentis","https://www.eu-startups.com/directory/discentis/"
"Zephorum","https://www.eu-startups.com/directory/zephorum/"
"Niverbec","https://www.eu-startups.com/directory/niverbec/"
"Smarchef","https://www.eu-startups.com/directory/smarchef/"
"lit","https://www.eu-startups.com/directory/lit/"
"ResilientX Security","https://www.eu-startups.com/directory/resilientx-security/"
"OneGrab","https://www.eu-startups.com/directory/onegrab/"
"Aicha","https://www.eu-startups.com/directory/aicha/"
"Gau","https://www.eu-startups.com/directory/gau/"
"MorseVerse","https://www.eu-startups.com/directory/morseverse/"
"PlayNook","https://www.eu-startups.com/directory/playnook/"
"Icarus","https://www.eu-startups.com/directory/icarus/"
"BM Diagnostics","https://www.eu-startups.com/directory/bm-diagnostics/"
"Aurea Hub","https://www.eu-startups.com/directory/aurea-hub/"
"Ampero","https://www.eu-startups.com/directory/ampero/"
"GeneSys Bio","https://www.eu-startups.com/directory/genesys-bio/"
"Through Tech","https://www.eu-startups.com/directory/through-tech/"
"VirtualE","https://www.eu-startups.com/directory/virtuale/"
"20Seconds","https://www.eu-startups.com/directory/20seconds/"
"snAIke","https://www.eu-startups.com/directory/snaike/"
"Exvirience","https://www.eu-startups.com/directory/exvirience/"
"LOKI","https://www.eu-startups.com/directory/loki/"
"Ride2share","https://www.eu-startups.com/directory/ride2share/"
"Stageflow","https://www.eu-startups.com/directory/stageflow/"
"StaffMotion","https://www.eu-startups.com/directory/staffmotion/"
"Trusted Beans","https://www.eu-startups.com/directory/trusted-beans/"
"Cosmo","https://www.eu-startups.com/directory/cosmo/"
"Cyrillic","https://www.eu-startups.com/directory/cyrillic/"
"Pausetiv","https://www.eu-startups.com/directory/pausetiv/"
"Studdy","https://www.eu-startups.com/directory/studdy/"
"Wholetech","https://www.eu-startups.com/directory/wholetech/"
"KFG Products","https://www.eu-startups.com/directory/kfg-products/"
"Klaaryo","https://www.eu-startups.com/directory/klaaryo/"
"Grateful","https://www.eu-startups.com/directory/grateful/"
"Bandit","https://www.eu-startups.com/directory/bandit/"
"Tailoor.com","https://www.eu-startups.com/directory/tailoor.com"
"NanoBiomica","https://www.eu-startups.com/directory/nanobiomica/"
"stakeshare","https://www.eu-startups.com/directory/stakeshare/"
"MaPott","https://www.eu-startups.com/directory/mapott/"
"Comestai","https://www.eu-startups.com/directory/comestai/"
"Plutonios","https://www.eu-startups.com/directory/plutonios/"
"GeoRide","https://www.eu-startups.com/directory/georide/"
"Carbonfly","https://www.eu-startups.com/directory/carbonfly/"
"Deplotic","https://www.eu-startups.com/directory/deplotic/"
"Anostra","https://www.eu-startups.com/directory/anostra/"
"Alpha Wearables","https://www.eu-startups.com/directory/alpha-wearables/"
"Guardcyber","https://www.eu-startups.com/directory/guardcyber/"
"Starview","https://www.eu-startups.com/directory/starview/"
"doctorhouse","https://www.eu-startups.com/directory/doctorhouse/"
"Mnsimu","https://www.eu-startups.com/directory/mnsimu/"
"MakerBox","https://www.eu-startups.com/directory/makerbox/"
"Rosmami","https://www.eu-startups.com/directory/rosmami/"
"Micropedia","https://www.eu-startups.com/directory/micropedia/"
"Troniex Technologies","https://www.eu-startups.com/directory/troniex-technologies/"
"FiscoGenio AI","https://www.eu-startups.com/directory/fiscogenio-ai/"
"AI Cartoon Generator","https://www.eu-startups.com/directory/ai-cartoon-generator/"
"Bikinilista","https://www.eu-startups.com/directory/bikinilista/"
"Renovo srl","https://www.eu-startups.com/directory/renovo-srl/"
"ETAK","https://www.eu-startups.com/directory/etak/"
"BarBot","https://www.eu-startups.com/directory/barbot/"
"Founders Firm","https://www.eu-startups.com/directory/founders-firm/"
"Lumigo","https://www.eu-startups.com/directory/lumigo/"
"AI Cartoon Generator","https://www.eu-startups.com/directory/ai-cartoon-generator/"
"STARTEX AI","https://www.eu-startups.com/directory/startex-ai/"
"AllStent","https://www.eu-startups.com/directory/allstent/"
"Jobiri.com","https://www.eu-startups.com/directory/jobiri.com"
"Alessio Sbrana","https://www.eu-startups.com/directory/alessio-sbrana/"
"Jidoka Studio","https://www.eu-startups.com/directory/jidoka-studio/"
"WormApp LogiCity","https://www.eu-startups.com/directory/wormapp-logicity/"
"Scrapegraphai","https://www.eu-startups.com/directory/scrapegraphai/"
"Fitporn SRL","https://www.eu-startups.com/directory/fitporn-srl/"
"Courage Production Milan","https://www.eu-startups.com/directory/courage-production-milan/"
"Cerca Commercialista","https://www.eu-startups.com/directory/cerca-commercialista/"
"Crinon srl","https://www.eu-startups.com/directory/crinon-srl/"
"Anoma","https://www.eu-startups.com/directory/anoma/"
"JB Richard Group","https://www.eu-startups.com/directory/jb-richard-group/"
"CodeBeaver","https://www.eu-startups.com/directory/codebeaver/"
"Inspector.dev","https://www.eu-startups.com/directory/inspector.dev"
"Decipher SEO","https://www.eu-startups.com/directory/decipher-seo/"
"Table Prime","https://www.eu-startups.com/directory/table-prime/"
"Pet Sprint","https://www.eu-startups.com/directory/pet-sprint/"
"Next Digital Platform","https://www.eu-startups.com/directory/next-digital-platform/"
"Animotico","https://www.eu-startups.com/directory/animotico/"
"Turbo Generate","https://www.eu-startups.com/directory/turbo-generate/"
"3DtoMe","https://www.eu-startups.com/directory/3dtome/"
"Invisible Block Inc. (Cointimes)","https://www.eu-startups.com/directory/invisible-block-inc-cointimes/"
"Quidget","https://www.eu-startups.com/directory/quidget/"
"ARTup","https://www.eu-startups.com/directory/artup/"
"InstantAPI.ai","https://www.eu-startups.com/directory/instantapiai/"
"h4uni","https://www.eu-startups.com/directory/h4uni/"
"Pagination.com","https://www.eu-startups.com/directory/pagination.com"
"BlackTwist","https://www.eu-startups.com/directory/blacktwist/"
"Ashdeck","https://www.eu-startups.com/directory/ashdeck/"
"Ashdeck","https://www.eu-startups.com/directory/ashdeck/"
"Ad Calculators","https://www.eu-startups.com/directory/ad-calculators/"
"WPE Research and Development","https://www.eu-startups.com/directory/wpe-research-and-development/"
"WillEasy","https://www.eu-startups.com/directory/willeasy/"
"VESevo","https://www.eu-startups.com/directory/vesevo/"
"VCD MEDICALVCD MEDICAL","https://www.eu-startups.com/directory/vcd-medicalvcd-medical/"
"Stratobotic","https://www.eu-startups.com/directory/stratobotic/"
"SpaceMotionery","https://www.eu-startups.com/directory/spacemotionery/"
"Sortie Cargo","https://www.eu-startups.com/directory/sortie-cargo/"
"Sealivery","https://www.eu-startups.com/directory/sealivery/"
"ReHouseit","https://www.eu-startups.com/directory/rehouseit/"
"RECO2","https://www.eu-startups.com/directory/reco2/"
"RAREARTH","https://www.eu-startups.com/directory/rarearth/"
"Osmium Italy","https://www.eu-startups.com/directory/osmium-italy/"
"Orbital Outpost Italy","https://www.eu-startups.com/directory/orbital-outpost-italy/"
"Novac","https://www.eu-startups.com/directory/novac/"
"Foodentyco.it","https://www.eu-startups.com/directory/foodentycoit/"
"Movopack","https://www.eu-startups.com/directory/movopack/"
"MON5","https://www.eu-startups.com/directory/mon5/"
"Lokit","https://www.eu-startups.com/directory/lokit/"
"levelQuantum","https://www.eu-startups.com/directory/levelquantum/"
"Lebiu","https://www.eu-startups.com/directory/lebiu/"
"Leasy","https://www.eu-startups.com/directory/leasy/"
"Kinsect","https://www.eu-startups.com/directory/kinsect/"
"Katakem","https://www.eu-startups.com/directory/katakem/"
"Involve Space","https://www.eu-startups.com/directory/involve-space/"
"Green Independence","https://www.eu-startups.com/directory/green-independence/"
"Evening","https://www.eu-startups.com/directory/evening/"
"Barter","https://www.eu-startups.com/directory/barter/"
"Focoos AI","https://www.eu-startups.com/directory/focoos-ai/"
"Displaid","https://www.eu-startups.com/directory/displaid/"
"DBSpace","https://www.eu-startups.com/directory/dbspace/"
"Conversence","https://www.eu-startups.com/directory/conversence/"
"CoDe_RTD","https://www.eu-startups.com/directory/code_rtd/"
"Betadynamiq","https://www.eu-startups.com/directory/betadynamiq/"
"ARCA Dynamics","https://www.eu-startups.com/directory/arca-dynamics/"
"Alteredu.it","https://www.eu-startups.com/directory/altereduit/"
"Airizon","https://www.eu-startups.com/directory/airizon/"
"Vitruvian VR","https://www.eu-startups.com/directory/vitruvian-vr/"
"UTwin","https://www.eu-startups.com/directory/utwin/"
"SphereCube","https://www.eu-startups.com/directory/spherecube/"
"SaferPLACES","https://www.eu-startups.com/directory/saferplaces/"
"rehub.glass","https://www.eu-startups.com/directory/rehubglass/"
"REA Space","https://www.eu-startups.com/directory/rea-space/"
"PURILIAN","https://www.eu-startups.com/directory/purilian/"
"Northern Light Composites","https://www.eu-startups.com/directory/northern-light-composites/"
"Mangrovia","https://www.eu-startups.com/directory/mangrovia/"
"illuminem","https://www.eu-startups.com/directory/illuminem/"
"Hausme","https://www.eu-startups.com/directory/hausme/"
"Fairbnb","https://www.eu-startups.com/directory/fairbnb/"
"Evometrika","https://www.eu-startups.com/directory/evometrika/"
"Ephos","https://www.eu-startups.com/directory/ephos/"
"Enersem","https://www.eu-startups.com/directory/enersem/"
"DRB","https://www.eu-startups.com/directory/drb/"
"Culturatela","https://www.eu-startups.com/directory/culturatela/"
"Cognivix","https://www.eu-startups.com/directory/cognivix/"
"Coffeefrom","https://www.eu-startups.com/directory/coffeefrom/"
"Circular Fiber","https://www.eu-startups.com/directory/circular-fiber/"
"C-ty.com","https://www.eu-startups.com/directory/c-ty.com"
"BEAWaRe","https://www.eu-startups.com/directory/beaware/"
"AraBat srl","https://www.eu-startups.com/directory/arabat-srl/"
"Space Frontier","https://www.eu-startups.com/directory/space-frontier/"
"ExpoAlert","https://www.eu-startups.com/directory/expoalert/"
"FreedHome","https://www.eu-startups.com/directory/freedhome/"
"Only Sardinia Autonoleggio","https://www.eu-startups.com/directory/only-sardinia-autonoleggio/"
"DART Studios","https://www.eu-startups.com/directory/dart-studios/"
"Voidless","https://www.eu-startups.com/directory/voidless/"
"Resalis Therapeutics","https://www.eu-startups.com/directory/resalis-therapeutics/"
"Non-Profit & Philanthropy","https://www.eu-startups.com/directory/non-profit-philanthropy/"
"Aptus.AI","https://www.eu-startups.com/directory/aptusai/"
"Guidoio","https://www.eu-startups.com/directory/guidoio/"
"Kurs Orbital","https://www.eu-startups.com/directory/kurs-orbital/"
"Talentware","https://www.eu-startups.com/directory/talentware/"
"Cellply","https://www.eu-startups.com/directory/cellply/"
"BeDimensional","https://www.eu-startups.com/directory/bedimensional/"
"Cleafy","https://www.eu-startups.com/directory/cleafy/"
"Lithium Lasers","https://www.eu-startups.com/directory/lithium-lasers/"
"Futura","https://www.eu-startups.com/directory/futura/"
"Workers BADGE","https://www.eu-startups.com/directory/workers-badge/"
"Billoo","https://www.eu-startups.com/directory/billoo/"
"brandplane","https://www.eu-startups.com/directory/brandplane/"
"Declout","https://www.eu-startups.com/directory/declout/"
"Deempact","https://www.eu-startups.com/directory/deempact/"
"Ethyly","https://www.eu-startups.com/directory/ethyly/"
"Resrcle","https://www.eu-startups.com/directory/resrcle/"
"ResilientX Security","https://www.eu-startups.com/directory/resilientx-security/"
"MYSE: My Sport Exchange","https://www.eu-startups.com/directory/myse-my-sport-exchange/"
"nanea","https://www.eu-startups.com/directory/nanea/"
"PlayNook","https://www.eu-startups.com/directory/playnook/"
"Playerself Labs","https://www.eu-startups.com/directory/playerself-labs/"
"Pigro.ai","https://www.eu-startups.com/directory/pigroai/"
"NOUS","https://www.eu-startups.com/directory/nous/"
"Joinrs","https://www.eu-startups.com/directory/joinrs/"
"Bandit","https://www.eu-startups.com/directory/bandit/"
"SWEE-THY","https://www.eu-startups.com/directory/swee-thy/"
"Jet HR","https://www.eu-startups.com/directory/jet-hr/"
"OLM","https://www.eu-startups.com/directory/olm/"
"Aced sports","https://www.eu-startups.com/directory/aced-sports/"
"Confcommercio Startup Genova","https://www.eu-startups.com/directory/confcommercio-startup-genova/"
"ScreenYourself","https://www.eu-startups.com/directory/screenyourself/"
"KEEEN","https://www.eu-startups.com/directory/keeen/"
"Weply","https://www.eu-startups.com/directory/weply-2/"
"Offjoin","https://www.eu-startups.com/directory/offjoin/"
"ReLearn","https://www.eu-startups.com/directory/relearn-2/"
"Newel Health","https://www.eu-startups.com/directory/newel-health-2/"
"holipay","https://www.eu-startups.com/directory/holipay/"
"Unique Science","https://www.eu-startups.com/directory/unique-science/"
"Vatogo","https://www.eu-startups.com/directory/vatogo/"
"Vuit","https://www.eu-startups.com/directory/vuit/"
"Five Elements Labs","https://www.eu-startups.com/directory/five-elements-labs/"
"FidoRent","https://www.eu-startups.com/directory/fidorent/"
"Eudrop","https://www.eu-startups.com/directory/eudrop/"
"Eoliann","https://www.eu-startups.com/directory/eoliann/"
"Elettrica Wave","https://www.eu-startups.com/directory/elettrica-wave/"
"Deckx","https://www.eu-startups.com/directory/deckx/"
"Congrify","https://www.eu-startups.com/directory/congrify/"
"CoinFlow","https://www.eu-startups.com/directory/coinflow/"
"Your Call System","https://www.eu-startups.com/directory/your-call-system/"
"ZEPHYR","https://www.eu-startups.com/directory/zephyr/"
"Botshelf.ai","https://www.eu-startups.com/directory/botshelf-ai/"
"Zeroo Pay","https://www.eu-startups.com/directory/zeroo-pay/"
"Zonzers","https://www.eu-startups.com/directory/zonzers/"
"Dotting","https://www.eu-startups.com/directory/dotting/"
"Apeiron Lab Technology","https://www.eu-startups.com/directory/apeiron-lab-technology/"
"Centro Merida","https://www.eu-startups.com/directory/centro-merida/"
"Builder-IT","https://www.eu-startups.com/directory/builder-it/"
"Bugpilot","https://www.eu-startups.com/directory/bugpilot/"
"BUFAGA","https://www.eu-startups.com/directory/bufaga/"
"32BIT","https://www.eu-startups.com/directory/32bit/"
