name,link
"Evotym","https://www.eu-startups.com/directory/evotym/"
"Mailerio","https://www.eu-startups.com/directory/mailerio/"
"SPEENRGY","https://www.eu-startups.com/directory/speenrgy/"
"Batsand","https://www.eu-startups.com/directory/batsand/"
"L-Blend","https://www.eu-startups.com/directory/l-blend/"
"Crowd Explorers","https://www.eu-startups.com/directory/crowd-explorers/"
"AiSAT","https://www.eu-startups.com/directory/aisat/"
"NFT4Charity.world","https://www.eu-startups.com/directory/nft4charityworld/"
"Adsmom","https://www.eu-startups.com/directory/adsmom/"
"MOOTD.ai","https://www.eu-startups.com/directory/mootdai/"
"XME","https://www.eu-startups.com/directory/xme/"
"Backlink Pilot","https://www.eu-startups.com/directory/backlink-pilot/"
"Fiidbakk","https://www.eu-startups.com/directory/fiidbakk/"
"Boring Dice","https://www.eu-startups.com/directory/boring-dice/"
"Fluxy.One","https://www.eu-startups.com/directory/fluxy.one"
"Fluxy.One","https://www.eu-startups.com/directory/fluxy.one"
"THEO Growth","https://www.eu-startups.com/directory/theo-growth/"
"Toolio","https://www.eu-startups.com/directory/toolio/"
"Rompolo","https://www.eu-startups.com/directory/rompolo/"
"Teamopipe","https://www.eu-startups.com/directory/teamopipe/"
"AirTools.ai","https://www.eu-startups.com/directory/airtoolsai/"
"Toolio","https://www.eu-startups.com/directory/toolio/"
"SUBmerge","https://www.eu-startups.com/directory/submerge/"
"Naco Technologies","https://www.eu-startups.com/directory/naco-technologies/"
"Cellbox Labs","https://www.eu-startups.com/directory/cellbox-labs/"
"Allockate","https://www.eu-startups.com/directory/allockate/"
"Saikne","https://www.eu-startups.com/directory/saikne/"
"Forma Campers","https://www.eu-startups.com/directory/forma-campers/"
"ORUGA","https://www.eu-startups.com/directory/oruga/"
"abill.io","https://www.eu-startups.com/directory/abillio/"
"EMPYRIO","https://www.eu-startups.com/directory/empyrio/"
"inGain","https://www.eu-startups.com/directory/ingain/"
"Adventum Tech","https://www.eu-startups.com/directory/adventum-tech/"
"Acoustic Technologies","https://www.eu-startups.com/directory/acoustic-technologies/"
"Selfnamed","https://www.eu-startups.com/directory/selfnamed/"
"Dosty","https://www.eu-startups.com/directory/dosty/"
"Orbit8","https://www.eu-startups.com/directory/orbit8/"
