name,link
"Copianto AI","https://www.eu-startups.com/directory/copianto-ai/"
"Thundercrawl – LLMs.txt Generator","https://www.eu-startups.com/directory/thundercrawl-llmstxt-generator/"
"Property Marketplace","https://www.eu-startups.com/directory/property-marketplace/"
"Greenroads","https://www.eu-startups.com/directory/greenroads/"
"PayRam","https://www.eu-startups.com/directory/payram/"
"SPLForge","https://www.eu-startups.com/directory/splforge/"
"Smart Materials Limited","https://www.eu-startups.com/directory/smart-materials-limited/"
"LHM Global","https://www.eu-startups.com/directory/lhm-global/"
"generate.TAX","https://www.eu-startups.com/directory/generate.tax"
"Chatform AI","https://www.eu-startups.com/directory/chatform-ai/"
"Well Me Right","https://www.eu-startups.com/directory/well-me-right/"
"DRCT","https://www.eu-startups.com/directory/drct/"
"QuickHR","https://www.eu-startups.com/directory/quickhr/"
"The Plaza Prizes","https://www.eu-startups.com/directory/the-plaza-prizes/"
"MannaEV","https://www.eu-startups.com/directory/mannaev/"
"The BioArte","https://www.eu-startups.com/directory/the-bioarte/"
"WagsUnite","https://www.eu-startups.com/directory/wagsunite/"
"Aequilibria Health","https://www.eu-startups.com/directory/aequilibria-health/"
"Her4","https://www.eu-startups.com/directory/her4/"
"Arclight","https://www.eu-startups.com/directory/arclight/"
"QuadraBeat","https://www.eu-startups.com/directory/quadrabeat/"
"Syphe","https://www.eu-startups.com/directory/syphe/"
"Monipal","https://www.eu-startups.com/directory/monipal/"
"TrustElevate","https://www.eu-startups.com/directory/trustelevate/"
"SimplyPay LTD","https://www.eu-startups.com/directory/simplypay-ltd/"
"Sheetsway","https://www.eu-startups.com/directory/sheetsway/"
"Cloud Crafter","https://www.eu-startups.com/directory/cloud-crafter-ltd/"
"LEET","https://www.eu-startups.com/directory/leet/"
"Recasta","https://www.eu-startups.com/directory/recasta-2/"
"BiologyBuddy.ai","https://www.eu-startups.com/directory/biologybuddy-ai-your-personal-ai-study-tool-for-biology/"
"AISO Academy","https://www.eu-startups.com/directory/aiso-academy/"
"Recision","https://www.eu-startups.com/directory/recision/"
"Cheap Trolley","https://www.eu-startups.com/directory/cheap-trolley/"
"Ai Model Agency","https://www.eu-startups.com/directory/ai-model-agency/"
"recasta","https://www.eu-startups.com/directory/recasta/"
"VRock Media","https://www.eu-startups.com/directory/vrock-media/"
"Arphio","https://www.eu-startups.com/directory/arphio/"
