name,link
"MyNextInk","https://www.eu-startups.com/directory/mynextink/"
"LaizyDoc","https://www.eu-startups.com/directory/laizydoc/"
"Researchable | Strategic AI- & Data-partner","https://www.eu-startups.com/directory/researchable-strategic-ai-data-partner/"
"EmailConnect.eu","https://www.eu-startups.com/directory/emailconnecteu/"
"SimpleURL – Free URL Shortener","https://www.eu-startups.com/directory/simpleurl-free-url-shortener/"
"Rolo Administratie & Advies","https://www.eu-startups.com/directory/rolo-administratie-advies/"
"GrowSSolo","https://www.eu-startups.com/directory/growssolo/"
"CompanyData.com","https://www.eu-startups.com/directory/companydata.com"
"ZZP Pulse","https://www.eu-startups.com/directory/zzp-pulse/"
"Accounts Draft","https://www.eu-startups.com/directory/accounts-draft/"
"Klearskill","https://www.eu-startups.com/directory/klearskill/"
"Mirava","https://www.eu-startups.com/directory/mirava/"
"CargoClub","https://www.eu-startups.com/directory/cargoclub/"
"Questlog","https://www.eu-startups.com/directory/questlog/"
"GreenAgileEco","https://www.eu-startups.com/directory/greenagileeco/"
"Vignetim","https://www.eu-startups.com/directory/vignetim/"
"Next Communications","https://www.eu-startups.com/directory/next-communications/"
"Saber","https://www.eu-startups.com/directory/saber/"
"GoThumbnails","https://www.eu-startups.com/directory/gothumbnails/"
"Huisly","https://www.eu-startups.com/directory/huisly/"
"ValueEQ","https://www.eu-startups.com/directory/valueeq/"
"SoftArk","https://www.eu-startups.com/directory/softark/"
"Refybe.com","https://www.eu-startups.com/directory/refybe.com"
"Groningen Mail","https://www.eu-startups.com/directory/groningen-mail/"
"Liveve","https://www.eu-startups.com/directory/liveve/"
"Zeus Tech Assessment","https://www.eu-startups.com/directory/zeus-tech-assessment/"
"GoThumbnails","https://www.eu-startups.com/directory/gothumbnails/"
"Text to LaTeX – Best Text to LaTeX Converter | Free AI Text to LaTeX Tool","https://www.eu-startups.com/directory/text-to-latex-best-text-to-latex-converter-free-ai-text-to-latex-tool/"
"Brainsight","https://www.eu-startups.com/directory/brainsight/"
