name,link
"Avilo AS","https://www.eu-startups.com/directory/avilo-as/"
"Ask Zuro","https://www.eu-startups.com/directory/ask-zuro/"
"ListenAlert","https://www.eu-startups.com/directory/listenalert/"
"Breyta AS","https://www.eu-startups.com/directory/breyta-as/"
".Metrics","https://www.eu-startups.com/directory/metrics/"
"Founder-CRM","https://www.eu-startups.com/directory/founder-crm/"
"Intellipush","https://www.eu-startups.com/directory/intellipush/"
"Thread4","https://www.eu-startups.com/directory/thread4/"
"Mini Golf Spots","https://www.eu-startups.com/directory/mini-golf-spots/"
"Ceramic Coating Shops","https://www.eu-startups.com/directory/ceramic-coating-shops/"
"Medy","https://www.eu-startups.com/directory/medy/"
"Mynder","https://www.eu-startups.com/directory/mynder/"
"Nydalen Group","https://www.eu-startups.com/directory/nydalen-group/"
"Resiliq","https://www.eu-startups.com/directory/resiliq/"
"Medal Social AS","https://www.eu-startups.com/directory/medal-social-as/"
"Your Personal AI","https://www.eu-startups.com/directory/your-personal-ai/"
"Lifecycle PLM","https://www.eu-startups.com/directory/lifecycle-plm/"
"Trademate Sports","https://www.eu-startups.com/directory/trademate-sports/"
"Swayle","https://www.eu-startups.com/directory/swayle/"
"Newcode.ai","https://www.eu-startups.com/directory/newcodeai/"
"Bsure","https://www.eu-startups.com/directory/bsure/"
"Infinigrid","https://www.eu-startups.com/directory/infinigrid/"
"Tigeni","https://www.eu-startups.com/directory/tigeni/"
"SYRENNA","https://www.eu-startups.com/directory/syrenna/"
"Norsjór","https://www.eu-startups.com/directory/norsjor/"
"Neomare","https://www.eu-startups.com/directory/neomare/"
"Mitigrate","https://www.eu-startups.com/directory/mitigrate/"
"Kvikk Insurance","https://www.eu-startups.com/directory/kvikk-insurance/"
"Unicorn Platform","https://www.eu-startups.com/directory/unicorn-platform/"
"Element One Energy","https://www.eu-startups.com/directory/element-one-energy/"
"Windyfi","https://www.eu-startups.com/directory/windyfi/"
"Bev/ART","https://www.eu-startups.com/directory/bevart/"
"Bev/ART","https://www.eu-startups.com/directory/bevart/"
"Annuum","https://www.eu-startups.com/directory/annuum/"
"Ankerdb","https://www.eu-startups.com/directory/ankerdb/"
"We will write","https://www.eu-startups.com/directory/we-will-write/"
"WeMe Facilitators","https://www.eu-startups.com/directory/weme-facilitators/"
"VIERLIVE","https://www.eu-startups.com/directory/vierlive/"
"Versiro","https://www.eu-startups.com/directory/versiro/"
"UX Signals AS","https://www.eu-startups.com/directory/ux-signals-as/"
"Skarv Technologies","https://www.eu-startups.com/directory/skarv-technologies/"
"Cofondr","https://www.eu-startups.com/directory/cofondr/"
"Repairable","https://www.eu-startups.com/directory/repairable/"
"Reprice","https://www.eu-startups.com/directory/reprice/"
"Recharge Health","https://www.eu-startups.com/directory/recharge-health/"
"Quantitas Energy","https://www.eu-startups.com/directory/quantitas-energy/"
"Ocean Sun","https://www.eu-startups.com/directory/ocean-sun/"
"Kobla","https://www.eu-startups.com/directory/kobla/"
"Geniess","https://www.eu-startups.com/directory/geniess/"
"Dorysign","https://www.eu-startups.com/directory/dorysign/"
"Diri AS","https://www.eu-startups.com/directory/diri-as/"
"Conceptr","https://www.eu-startups.com/directory/conceptr/"
"celeri.today","https://www.eu-startups.com/directory/celeritoday/"
"Asistobe","https://www.eu-startups.com/directory/asistobe/"
"SEObot","https://www.eu-startups.com/directory/seobot/"
"Nortech","https://www.eu-startups.com/directory/nortech/"
"Databutton","https://www.eu-startups.com/directory/databutton/"
"Strise","https://www.eu-startups.com/directory/strise/"
"Countvisits","https://www.eu-startups.com/directory/countvisits/"
"SOREN HYDROGEN","https://www.eu-startups.com/directory/soren-hydrogen/"
"Fikse.co","https://www.eu-startups.com/directory/fikseco/"
"EYD","https://www.eu-startups.com/directory/eyd/"
"Dataoorts","https://www.eu-startups.com/directory/dataoorts/"
"AI Blog Generators","https://www.eu-startups.com/directory/ai-blog-generators/"
"Low Code Platforms","https://www.eu-startups.com/directory/low-code-platforms/"
"Low Code & No Code platforms","https://www.eu-startups.com/directory/low-code-no-code-platforms/"
"Skillscanner","https://www.eu-startups.com/directory/skillscanner/"
"Geoman","https://www.eu-startups.com/directory/geoman/"
"Eyer","https://www.eu-startups.com/directory/eyer/"
"Nexro","https://www.eu-startups.com/directory/nexro/"
"Planck Technologies AS","https://www.eu-startups.com/directory/planck-technologies-as/"
"znow","https://www.eu-startups.com/directory/znow/"
"Unicornplatform","https://www.eu-startups.com/directory/unicornplatform/"
"Intermediary AS","https://www.eu-startups.com/directory/intermediary-as/"
"Sine Delta","https://www.eu-startups.com/directory/sine-delta/"
"NordicHQ","https://www.eu-startups.com/directory/nordichq/"
"Scoped Solutions","https://www.eu-startups.com/directory/scoped-solutions/"
"Qubit Energy","https://www.eu-startups.com/directory/qubit-energy/"
"Marine Spark X","https://www.eu-startups.com/directory/marine-spark-x/"
"Nevemind","https://www.eu-startups.com/directory/nevemind/"
"CarbonCentrum","https://www.eu-startups.com/directory/carboncentrum/"
"Capture Energy","https://www.eu-startups.com/directory/capture-energy/"
"laiout","https://www.eu-startups.com/directory/laiout/"
"Ocean Oasis","https://www.eu-startups.com/directory/ocean-oasis/"
"Float UI","https://www.eu-startups.com/directory/float-ui/"
"Unicorn Platform","https://www.eu-startups.com/directory/unicorn-platform/"
"Fairsight","https://www.eu-startups.com/directory/fairsight/"
"CuttingRoom","https://www.eu-startups.com/directory/cuttingroom/"
"Bolig-Finans","https://www.eu-startups.com/directory/bolig-finans/"
"CityQ","https://www.eu-startups.com/directory/cityq/"
"Leie Leilighet","https://www.eu-startups.com/directory/leie-leilighet/"
"MASE Home","https://www.eu-startups.com/directory/mase-home/"
"TalEction","https://www.eu-startups.com/directory/talection/"
"Relynk","https://www.eu-startups.com/directory/relynk/"
"Powely","https://www.eu-startups.com/directory/powely/"
"ScreeningTale","https://www.eu-startups.com/directory/screeningtale/"
"Sustie","https://www.eu-startups.com/directory/sustie/"
"Manymore.com","https://www.eu-startups.com/directory/manymore-com/"
"Kosli","https://www.eu-startups.com/directory/kosli/"
"Ski Bygg","https://www.eu-startups.com/directory/ski-bygg/"
"ClexBio","https://www.eu-startups.com/directory/clexbio/"
"Workability","https://www.eu-startups.com/directory/workability/"
"AKER CLEAN","https://www.eu-startups.com/directory/aker-clean/"
"Agoro Carbon Alliance","https://www.eu-startups.com/directory/agoro-carbon-alliance/"
"Presail","https://www.eu-startups.com/directory/presail/"
"MarsX","https://www.eu-startups.com/directory/marsx/"
"MIR Insight","https://www.eu-startups.com/directory/mir-insight/"
"Sloyd","https://www.eu-startups.com/directory/sloyd/"
"Propl","https://www.eu-startups.com/directory/propl/"
"Kobler","https://www.eu-startups.com/directory/kobler/"
"AddMeetings","https://www.eu-startups.com/directory/addmeetings/"
"Aqualung Carbon Capture","https://www.eu-startups.com/directory/aqualung-carbon-capture/"
"Chew","https://www.eu-startups.com/directory/chew/"
"Shapemaker","https://www.eu-startups.com/directory/shapemaker/"
"Screeenstab","https://www.eu-startups.com/directory/screeenstab/"
"Link Retail","https://www.eu-startups.com/directory/link-retail/"
