name,link
"Atrium Exchange","https://www.eu-startups.com/directory/atrium-exchange/"
"Landing Now – AI Landing Page Generator","https://www.eu-startups.com/directory/landing-now-ai-landing-page-generator/"
"HUSPI","https://www.eu-startups.com/directory/huspi/"
"Quillminds","https://www.eu-startups.com/directory/quillminds/"
"GetQuiz","https://www.eu-startups.com/directory/getquiz/"
"OpportunAI","https://www.eu-startups.com/directory/opportunai/"
"TRIPSO.AI","https://www.eu-startups.com/directory/tripsoai/"
"Hopsa","https://www.eu-startups.com/directory/hopsa/"
"OpenAlternative","https://www.eu-startups.com/directory/openalternative/"
"SalesAgent Chat","https://www.eu-startups.com/directory/salesagent-chat/"
"GoJammin","https://www.eu-startups.com/directory/gojammin/"
"Strive Gym Log","https://www.eu-startups.com/directory/strive-gym-log/"
"lecishcha","https://www.eu-startups.com/directory/lecishcha/"
"Jobpopcorn","https://www.eu-startups.com/directory/jobpopcorn/"
"Volart City","https://www.eu-startups.com/directory/volart-city/"
"Stormy AI","https://www.eu-startups.com/directory/stormy-ai/"
"(no title)","https://www.eu-startups.com/directory/no-title/"
"animalhotels","https://www.eu-startups.com/directory/animalhotels/"
"UES","https://www.eu-startups.com/directory/ues/"
"Transfigure Technologies","https://www.eu-startups.com/directory/transfigure-technologies/"
"Quantum Charging","https://www.eu-startups.com/directory/quantum-charging/"
"pipl.ai","https://www.eu-startups.com/directory/piplai/"
"Bill In","https://www.eu-startups.com/directory/bill-in/"
"Heyrow","https://www.eu-startups.com/directory/heyrow/"
"SMARTBOB","https://www.eu-startups.com/directory/smartbob/"
"Bionwoven","https://www.eu-startups.com/directory/bionwoven/"
"Swayze","https://www.eu-startups.com/directory/swayze/"
"Plain","https://www.eu-startups.com/directory/plain/"
"Green-Powers-Forecast.com","https://www.eu-startups.com/directory/green-powers-forecast.com"
"CrewExpo","https://www.eu-startups.com/directory/crewexpo/"
"RideLife App","https://www.eu-startups.com/directory/ridelife-app/"
"Cittopia","https://www.eu-startups.com/directory/cittopia/"
"AI-HSEQ","https://www.eu-startups.com/directory/ai-hseq/"
"MyPetBack","https://www.eu-startups.com/directory/mypetback/"
"Postup Solutions","https://www.eu-startups.com/directory/postup-solutions/"
"Vitabloom","https://www.eu-startups.com/directory/vitabloom/"
"Persuaid","https://www.eu-startups.com/directory/persuaid/"
"PD MEDS","https://www.eu-startups.com/directory/pd-meds/"
"Autolayut","https://www.eu-startups.com/directory/autolayut/"
"WebTree","https://www.eu-startups.com/directory/webtree/"
"HeadSotlyAI","https://www.eu-startups.com/directory/headsotlyai/"
"Shellsea","https://www.eu-startups.com/directory/shellsea/"
"Tradefulness","https://www.eu-startups.com/directory/tradefulness/"
"semiQa","https://www.eu-startups.com/directory/semiqa/"
"WeavAir","https://www.eu-startups.com/directory/weavair/"
"LeadForceTalent","https://www.eu-startups.com/directory/leadforcetalent/"
"Artemida Index","https://www.eu-startups.com/directory/artemida-index/"
"ESSA.APP","https://www.eu-startups.com/directory/essa.app"
"Trade Craft","https://www.eu-startups.com/directory/trade-craft/"
"pixie.haus","https://www.eu-startups.com/directory/pixie.haus"
"EVEREST Jakub Łuczak","https://www.eu-startups.com/directory/everest-jakub-luczak/"
"SI Robotics","https://www.eu-startups.com/directory/si-robotics/"
"Zuzia.app","https://www.eu-startups.com/directory/zuzia.app"
"Tech NoCo","https://www.eu-startups.com/directory/tech-noco/"
"(no title)","https://www.eu-startups.com/directory/no-title/"
"Flatcal","https://www.eu-startups.com/directory/flatcal/"
"Headshotly.ai","https://www.eu-startups.com/directory/headshotlyai/"
"Agro Contracts","https://www.eu-startups.com/directory/agro-contracts/"
"Solvee","https://www.eu-startups.com/directory/solvee/"
"Dat1.co","https://www.eu-startups.com/directory/dat1co/"
"PDFBolt","https://www.eu-startups.com/directory/pdfbolt/"
"Advena","https://www.eu-startups.com/directory/advena/"
"Doksly","https://www.eu-startups.com/directory/doksly/"
"Ping AI Task List","https://www.eu-startups.com/directory/ping-ai-task-list/"
"Datar","https://www.eu-startups.com/directory/datar/"
"ZnajdzSklep.pl","https://www.eu-startups.com/directory/znajdzskleppl/"
"Amibudget.app","https://www.eu-startups.com/directory/amibudget.app"
"Onlyfarms","https://www.eu-startups.com/directory/onlyfarms/"
"VeloPlanner","https://www.eu-startups.com/directory/veloplanner/"
"Bluesky Meter","https://www.eu-startups.com/directory/bluesky-meter/"
"powerCRM","https://www.eu-startups.com/directory/powercrm/"
"Nebbl","https://www.eu-startups.com/directory/nebbl/"
"Prezentacja AI","https://www.eu-startups.com/directory/prezentacja-ai/"
"aiselfi.es","https://www.eu-startups.com/directory/aiselfies/"
"FarmCloud","https://www.eu-startups.com/directory/farmcloud/"
"AI Agents List","https://www.eu-startups.com/directory/ai-agents-list/"
"Polskie Sloty","https://www.eu-startups.com/directory/polskie-sloty/"
"Amplink","https://www.eu-startups.com/directory/amplink/"
"Ptah.sh","https://www.eu-startups.com/directory/ptahsh/"
"Droplo","https://www.eu-startups.com/directory/droplo/"
"BetterFeedback.ai","https://www.eu-startups.com/directory/betterfeedbackai/"
"Poland Advisor","https://www.eu-startups.com/directory/poland-advisor/"
"Remoote.app","https://www.eu-startups.com/directory/remoote.app"
"dailystatus","https://www.eu-startups.com/directory/dailystatus/"
"DP Vision","https://www.eu-startups.com/directory/dp-vision/"
"iLMS","https://www.eu-startups.com/directory/ilms/"
"Appshunter.io","https://www.eu-startups.com/directory/appshunterio/"
"Green Wedge","https://www.eu-startups.com/directory/green-wedge/"
"Kerlig AI","https://www.eu-startups.com/directory/kerlig-ai/"
"Kerlig AI","https://www.eu-startups.com/directory/kerlig-ai/"
"YouLinker","https://www.eu-startups.com/directory/youlinker/"
"Serwus Digital","https://www.eu-startups.com/directory/serwus-digital/"
"SafeUtils","https://www.eu-startups.com/directory/safeutils/"
"PARTNER2B","https://www.eu-startups.com/directory/partner2b/"
"Redigo Carbon","https://www.eu-startups.com/directory/redigo-carbon/"
"Maas Loop","https://www.eu-startups.com/directory/maas-loop/"
"TerGo","https://www.eu-startups.com/directory/tergo/"
"TimeFlip","https://www.eu-startups.com/directory/timeflip/"
"TerGo","https://www.eu-startups.com/directory/tergo/"
"VivaDrive","https://www.eu-startups.com/directory/vivadrive/"
"Virbe","https://www.eu-startups.com/directory/virbe/"
"THRsystem","https://www.eu-startups.com/directory/thrsystem/"
"Solwena","https://www.eu-startups.com/directory/solwena/"
"Plan Be Eco","https://www.eu-startups.com/directory/plan-be-eco/"
"Perfect Data","https://www.eu-startups.com/directory/perfect-data/"
"Patient Expert","https://www.eu-startups.com/directory/patient-expert/"
"Listny Cud","https://www.eu-startups.com/directory/listny-cud/"
"FinQbit","https://www.eu-startups.com/directory/finqbit/"
"EcoBean","https://www.eu-startups.com/directory/ecobean/"
"Data Lake","https://www.eu-startups.com/directory/data-lake/"
"BacterOMIC","https://www.eu-startups.com/directory/bacteromic/"
"AgronetPRO","https://www.eu-startups.com/directory/agronetpro/"
"Farada Group","https://www.eu-startups.com/directory/farada-group/"
"MyArchitectAI","https://www.eu-startups.com/directory/myarchitectai/"
"Lenso.ai","https://www.eu-startups.com/directory/lensoai/"
"YouTimeliner","https://www.eu-startups.com/directory/youtimeliner/"
"Holi","https://www.eu-startups.com/directory/holi/"
"Quesma","https://www.eu-startups.com/directory/quesma/"
"Evidose","https://www.eu-startups.com/directory/evidose/"
"LiveKid","https://www.eu-startups.com/directory/livekid/"
"SP Tech Solutions","https://www.eu-startups.com/directory/sp-tech-solutions/"
"ForActive","https://www.eu-startups.com/directory/foractive/"
"WIDMO Spectral Technologies","https://www.eu-startups.com/directory/widmo-spectral-technologies/"
"Vivid Mind","https://www.eu-startups.com/directory/vivid-mind/"
"BioDairy Labs","https://www.eu-startups.com/directory/biodairy-labs/"
"She is Lucid","https://www.eu-startups.com/directory/she-is-lucid/"
"QX","https://www.eu-startups.com/directory/qx/"
"MowaAI","https://www.eu-startups.com/directory/mowaai/"
"Postup","https://www.eu-startups.com/directory/postup/"
"Heilo","https://www.eu-startups.com/directory/heilo/"
"Choicer","https://www.eu-startups.com/directory/choicer/"
"BuyerMind","https://www.eu-startups.com/directory/buyermind/"
"Alvi-Bel Sp. z o.o.","https://www.eu-startups.com/directory/alvi-bel-sp-z-oo/"
"PARTNER2B","https://www.eu-startups.com/directory/partner2b/"
"Matchduty","https://www.eu-startups.com/directory/matchduty/"
"Techinvited","https://www.eu-startups.com/directory/techinvited/"
"Deeplai","https://www.eu-startups.com/directory/deeplai/"
