name,link
"ComputerShop","https://www.eu-startups.com/directory/computershop/"
"Gatekeepr","https://www.eu-startups.com/directory/gatekeepr/"
"Esenca Sizing","https://www.eu-startups.com/directory/esenca-sizing/"
"Ovesio","https://www.eu-startups.com/directory/ovesio/"
"SuperTrader","https://www.eu-startups.com/directory/supertrader/"
"TrackerJoy","https://www.eu-startups.com/directory/trackerjoy/"
"Opticomm.AI","https://www.eu-startups.com/directory/opticommai/"
"FamilyPilot","https://www.eu-startups.com/directory/familypilot/"
"Expressive Animator","https://www.eu-startups.com/directory/expressive-animator/"
"MobilaDalin","https://www.eu-startups.com/directory/mobiladalin/"
"Trafero","https://www.eu-startups.com/directory/trafero/"
"ViTTor AI","https://www.eu-startups.com/directory/vittor-ai/"
"NutriCareLife","https://www.eu-startups.com/directory/nutricarelife/"
"Gacriva Studio","https://www.eu-startups.com/directory/gacriva-studio/"
"RepsMate","https://www.eu-startups.com/directory/repsmate/"
"ActionPoint","https://www.eu-startups.com/directory/actionpoint/"
"Ixaria","https://www.eu-startups.com/directory/ixaria/"
"Recycllux","https://www.eu-startups.com/directory/recycllux/"
"Ruuts.travel","https://www.eu-startups.com/directory/ruutstravel/"
"The Football Brain","https://www.eu-startups.com/directory/the-football-brain/"
"Mommy HAI App","https://www.eu-startups.com/directory/mommy-hai-app/"
"Agence K","https://www.eu-startups.com/directory/agence-k/"
"Remote Butler","https://www.eu-startups.com/directory/remote-butler/"
"360Configurator.com","https://www.eu-startups.com/directory/360configurator.com"
"minglr","https://www.eu-startups.com/directory/minglr/"
"Inereto","https://www.eu-startups.com/directory/inereto/"
"Elvant","https://www.eu-startups.com/directory/elvant/"
"TelePaws","https://www.eu-startups.com/directory/telepaws/"
"Waiheke","https://www.eu-startups.com/directory/waiheke/"
"Bit&R","https://www.eu-startups.com/directory/bitr/"
"OnChat.ai","https://www.eu-startups.com/directory/onchatai/"
"Behave","https://www.eu-startups.com/directory/behave/"
"PortPace","https://www.eu-startups.com/directory/portpace/"
"Defensive Pedal","https://www.eu-startups.com/directory/defensive-pedal/"
"Lorna AI","https://www.eu-startups.com/directory/lorna-ai/"
"HandsFree Solutions","https://www.eu-startups.com/directory/handsfree-solutions/"
"Orchestrator Software Solutions","https://www.eu-startups.com/directory/orchestrator-software-solutions/"
"Acum Acum","https://www.eu-startups.com/directory/acum-acum/"
"Romania","https://www.eu-startups.com/directory/romania/"
"ShareAI","https://www.eu-startups.com/directory/shareai/"
"FastPixel","https://www.eu-startups.com/directory/fastpixel/"
"ManuscriptReport","https://www.eu-startups.com/directory/manuscriptreport/"
"CoLaunchly","https://www.eu-startups.com/directory/colaunchly/"
"NewTech Academy","https://www.eu-startups.com/directory/newtech-academy/"
"MotoMus","https://www.eu-startups.com/directory/motomus/"
"Flowbite","https://www.eu-startups.com/directory/flowbite/"
"dMonitor","https://www.eu-startups.com/directory/dmonitor/"
"ievent.ro","https://www.eu-startups.com/directory/ieventro/"
"99finder","https://www.eu-startups.com/directory/99finder/"
