name,link
"Kliv","https://www.eu-startups.com/directory/kliv/"
"Abrande","https://www.eu-startups.com/directory/abrande/"
"SERPGrid","https://www.eu-startups.com/directory/serpgrid/"
"Afterwind","https://www.eu-startups.com/directory/afterwind/"
"Xbrandify","https://www.eu-startups.com/directory/xbrandify/"
"Book My Ride (Isla app ab)","https://www.eu-startups.com/directory/book-my-ride-isla-app-ab/"
"Svenry","https://www.eu-startups.com/directory/svenry/"
"Fundra","https://www.eu-startups.com/directory/fundra/"
"NameRiffle","https://www.eu-startups.com/directory/nameriffle/"
"Chik","https://www.eu-startups.com/directory/chik/"
"Hamphi AB","https://www.eu-startups.com/directory/hamphi-ab/"
"DRYE","https://www.eu-startups.com/directory/drye/"
"DecarbAI","https://www.eu-startups.com/directory/decarbai/"
"Circulaire","https://www.eu-startups.com/directory/circulaire/"
"Kitocoat","https://www.eu-startups.com/directory/kitocoat/"
"Artist Arena","https://www.eu-startups.com/directory/artist-arena/"
"IDfier","https://www.eu-startups.com/directory/idfier/"
"Humy.ai","https://www.eu-startups.com/directory/humyai/"
"VISS.AI","https://www.eu-startups.com/directory/vissai/"
"Fitbybalder","https://www.eu-startups.com/directory/fitbybalder/"
"Pryvx","https://www.eu-startups.com/directory/pryvx/"
"Pango","https://www.eu-startups.com/directory/pango/"
"LayerLogic","https://www.eu-startups.com/directory/layerlogic/"
"Migma.ai","https://www.eu-startups.com/directory/migmaai/"
"Verdantic","https://www.eu-startups.com/directory/verdantic/"
"Swirl your wines","https://www.eu-startups.com/directory/swirl-your-wines/"
"Nordic Loop","https://www.eu-startups.com/directory/nordic-loop/"
"Digiculum","https://www.eu-startups.com/directory/digiculum/"
"Frostbite","https://www.eu-startups.com/directory/frostbite/"
"The Virtual Mind","https://www.eu-startups.com/directory/the-virtual-mind/"
"Compira","https://www.eu-startups.com/directory/compira/"
"Gryning","https://www.eu-startups.com/directory/gryning/"
"Nexus by Sweden","https://www.eu-startups.com/directory/nexus-by-sweden/"
"Fieldstream AI","https://www.eu-startups.com/directory/fieldstream-ai/"
"Magnetlabbet AB","https://www.eu-startups.com/directory/magnetlabbet-ab/"
"Idea Screening Lab","https://www.eu-startups.com/directory/idea-screening-lab/"
"Appylar","https://www.eu-startups.com/directory/appylar/"
"Public Speaking with Maria","https://www.eu-startups.com/directory/public-speaking-with-maria/"
"VyPack AB","https://www.eu-startups.com/directory/vypack-ab/"
"MailTester.Ninja","https://www.eu-startups.com/directory/mailtesterninja/"
"Remiball","https://www.eu-startups.com/directory/remiball/"
"Xplir AB","https://www.eu-startups.com/directory/xplir-ab/"
"Piccnic","https://www.eu-startups.com/directory/piccnic/"
"CXO Centre","https://www.eu-startups.com/directory/cxo-centre/"
"Cvshelf","https://www.eu-startups.com/directory/cvshelf/"
"Velory","https://www.eu-startups.com/directory/velory/"
"Jumper","https://www.eu-startups.com/directory/jumper/"
"Qala","https://www.eu-startups.com/directory/qala/"
"PinnOne","https://www.eu-startups.com/directory/pinnone/"
"HumanizeAI.now","https://www.eu-startups.com/directory/humanizeai.now"
"HandyDay AB","https://www.eu-startups.com/directory/handyday-ab/"
"JSONREPO","https://www.eu-startups.com/directory/jsonrepo/"
"Jord AB","https://www.eu-startups.com/directory/jord-ab/"
"Tiivis","https://www.eu-startups.com/directory/tiivis/"
"Alex Therapeutics","https://www.eu-startups.com/directory/alex-therapeutics/"
"Rank Tank","https://www.eu-startups.com/directory/rank-tank/"
"AVAY","https://www.eu-startups.com/directory/avay/"
"Dunderutveckling","https://www.eu-startups.com/directory/dunderutveckling/"
"Hology Interactive AB","https://www.eu-startups.com/directory/hology-interactive-ab/"
"YourWayHome","https://www.eu-startups.com/directory/yourwayhome/"
"TravelTail","https://www.eu-startups.com/directory/traveltail/"
"TeraSi","https://www.eu-startups.com/directory/terasi/"
"Talendary","https://www.eu-startups.com/directory/talendary/"
"Southern Lights","https://www.eu-startups.com/directory/southern-lights/"
"Sea Technology","https://www.eu-startups.com/directory/sea-technology/"
"Scatterin","https://www.eu-startups.com/directory/scatterin/"
"Qlerify","https://www.eu-startups.com/directory/qlerify/"
"PlayD8","https://www.eu-startups.com/directory/playd8/"
"Pillai","https://www.eu-startups.com/directory/pillai/"
"ML Genics","https://www.eu-startups.com/directory/ml-genics/"
"MeetYu","https://www.eu-startups.com/directory/meetyu/"
"Mappi","https://www.eu-startups.com/directory/mappi/"
"Lingoberry","https://www.eu-startups.com/directory/lingoberry/"
"Legimeet","https://www.eu-startups.com/directory/legimeet/"
"LanguifyAI","https://www.eu-startups.com/directory/languifyai/"
"Ifigenia","https://www.eu-startups.com/directory/ifigenia/"
"Hymdal","https://www.eu-startups.com/directory/hymdal/"
"Dweller","https://www.eu-startups.com/directory/dweller/"
"Fictive Reality","https://www.eu-startups.com/directory/fictive-reality/"
"Enabler","https://www.eu-startups.com/directory/enabler/"
"Emigreat","https://www.eu-startups.com/directory/emigreat/"
"CARBONACT","https://www.eu-startups.com/directory/carbonact/"
"bijou.fm","https://www.eu-startups.com/directory/bijoufm/"
"Atonemo","https://www.eu-startups.com/directory/atonemo/"
"Asker Technologies","https://www.eu-startups.com/directory/asker-technologies/"
"Vidde Snow Mobility","https://www.eu-startups.com/directory/vidde-snow-mobility/"
"Scholaro","https://www.eu-startups.com/directory/scholaro/"
"Rounded News","https://www.eu-startups.com/directory/rounded-news/"
"RemotiveLabs","https://www.eu-startups.com/directory/remotivelabs/"
"Rebaba","https://www.eu-startups.com/directory/rebaba/"
"Qluent","https://www.eu-startups.com/directory/qluent/"
"Peak Energy","https://www.eu-startups.com/directory/peak-energy/"
"OE Systems","https://www.eu-startups.com/directory/oe-systems/"
"Nudgd","https://www.eu-startups.com/directory/nudgd/"
"PaperShell","https://www.eu-startups.com/directory/papershell/"
"Hopen","https://www.eu-startups.com/directory/hopen/"
"Goodfeed","https://www.eu-startups.com/directory/goodfeed/"
"KoalaClick","https://www.eu-startups.com/directory/koalaclick/"
"Charly Equity","https://www.eu-startups.com/directory/charly-equity/"
"Airzyme","https://www.eu-startups.com/directory/airzyme/"
"Alterspace","https://www.eu-startups.com/directory/alterspace/"
"Agteria Biotech","https://www.eu-startups.com/directory/agteria-biotech/"
"Myrspoven","https://www.eu-startups.com/directory/myrspoven/"
"MANTLE","https://www.eu-startups.com/directory/mantle/"
"1x.com","https://www.eu-startups.com/directory/1x.com"
"FineCell","https://www.eu-startups.com/directory/finecell/"
"SharesFX","https://www.eu-startups.com/directory/sharesfx/"
"Serverpod","https://www.eu-startups.com/directory/serverpod/"
"eComID","https://www.eu-startups.com/directory/ecomid/"
"Brite Payments","https://www.eu-startups.com/directory/brite-payments/"
"Younium","https://www.eu-startups.com/directory/younium/"
"Cemvision","https://www.eu-startups.com/directory/cemvision/"
"Scayl","https://www.eu-startups.com/directory/scayl/"
"Ironic Biotech","https://www.eu-startups.com/directory/ironic-biotech/"
"Gilion","https://www.eu-startups.com/directory/gilion/"
"Saveggy","https://www.eu-startups.com/directory/saveggy/"
"Antler","https://www.eu-startups.com/directory/antler/"
"Treyd","https://www.eu-startups.com/directory/treyd/"
"Grasp","https://www.eu-startups.com/directory/grasp/"
"Tjing","https://www.eu-startups.com/directory/tjing/"
"SwipeJobb","https://www.eu-startups.com/directory/swipejobb/"
"Ebie","https://www.eu-startups.com/directory/ebie/"
"EODynamics","https://www.eu-startups.com/directory/eodynamics/"
"Fruit is Food","https://www.eu-startups.com/directory/fruit-is-food/"
"Monok.com","https://www.eu-startups.com/directory/monok.com"
"Optima Planta","https://www.eu-startups.com/directory/optima-planta/"
"Your Beet","https://www.eu-startups.com/directory/your-beet/"
"Membly","https://www.eu-startups.com/directory/membly/"
"Inex One","https://www.eu-startups.com/directory/inex-one/"
"Firstact","https://www.eu-startups.com/directory/firstact/"
"Flatpack","https://www.eu-startups.com/directory/flatpack/"
"MODSIM Pharma","https://www.eu-startups.com/directory/modsim-pharma/"
"Shelf Planner","https://www.eu-startups.com/directory/shelf-planner/"
"Blykalla","https://www.eu-startups.com/directory/blykalla/"
"Scriptme AB","https://www.eu-startups.com/directory/scriptme-ab/"
"Measurementplan","https://www.eu-startups.com/directory/measurementplan/"
"Forwood AB","https://www.eu-startups.com/directory/forwood-ab/"
"BOGIO","https://www.eu-startups.com/directory/bogio/"
"Dunya Living","https://www.eu-startups.com/directory/dunya-living/"
"CYVI","https://www.eu-startups.com/directory/cyvi/"
"Hybridremote","https://www.eu-startups.com/directory/hybridremote/"
"The eillom company","https://www.eu-startups.com/directory/the-eillom-company/"
"AI Medical Technology","https://www.eu-startups.com/directory/ai-medical-technology/"
"London DJ Stockholm","https://www.eu-startups.com/directory/london-dj-stockholm/"
"Swekki Technology AB","https://www.eu-startups.com/directory/swekki-technology-ab/"
"Alwy","https://www.eu-startups.com/directory/alwy/"
"PriceAgent International AB","https://www.eu-startups.com/directory/priceagent-international-ab/"
"Aigility Industries AB","https://www.eu-startups.com/directory/aigility-industries-ab/"
"Yangi","https://www.eu-startups.com/directory/yangi/"
"Net Zero Build","https://www.eu-startups.com/directory/net-zero-build/"
"Resly AB","https://www.eu-startups.com/directory/resly-ab/"
"KanEL Sweden AB","https://www.eu-startups.com/directory/kanel-sweden-ab/"
"AKIRA Science","https://www.eu-startups.com/directory/akira-science/"
"Minutemailer","https://www.eu-startups.com/directory/minutemailer/"
"Oxide AI","https://www.eu-startups.com/directory/oxide-ai/"
"Baby Journey","https://www.eu-startups.com/directory/baby-journey/"
"Xplorafory Test AB","https://www.eu-startups.com/directory/xplorafory-test-ab/"
"Homer","https://www.eu-startups.com/directory/homer/"
"Fabeo AB","https://www.eu-startups.com/directory/fabeo-ab/"
"FloorFred","https://www.eu-startups.com/directory/floorfred/"
"Nordark","https://www.eu-startups.com/directory/nordark/"
"Tertie","https://www.eu-startups.com/directory/tertie/"
