Name,Link
"Rankscale.ai","https://www.eu-startups.com/directory/rankscaleai/"
"OpenSense Labs GmbH","https://www.eu-startups.com/directory/opensense-labs-gmbh/"
"Krajete","https://www.eu-startups.com/directory/krajete/"
"Submit Ninja","https://www.eu-startups.com/directory/submit-ninja/"
"Catchon tv","https://www.eu-startups.com/directory/catchon-tv/"
"Foto ATM","https://www.eu-startups.com/directory/foto-atm/"
"FINMAN – Finance Manager","https://www.eu-startups.com/directory/finman-finance-manager/"
"Orbit Flows","https://www.eu-startups.com/directory/orbit-flows/"
"Begin Rebirth","https://www.eu-startups.com/directory/begin-rebirth/"
"TAGBASE","https://www.eu-startups.com/directory/tagbase/"
"Sortask","https://www.eu-startups.com/directory/sortask/"
"arterioscope","https://www.eu-startups.com/directory/arterioscope/"
"Diamens FlexCo","https://www.eu-startups.com/directory/diamens-flexco/"
"TACD Solutions","https://www.eu-startups.com/directory/tacd-solutions/"
"Rootery Coffee","https://www.eu-startups.com/directory/rootery-coffee/"
"MakeMeABook","https://www.eu-startups.com/directory/makemeabook/"
"Agri Spectra AI","https://www.eu-startups.com/directory/agri-spectra-ai/"
"ZickZak","https://www.eu-startups.com/directory/zickzak/"
"Neworn","https://www.eu-startups.com/directory/neworn/"
"Syntropic Medical","https://www.eu-startups.com/directory/syntropic-medical/"
"HMW","https://www.eu-startups.com/directory/hmw/"
"Planet Abled","https://www.eu-startups.com/directory/planet-abled/"
"Dexla","https://www.eu-startups.com/directory/dexla/"
"Planet Matters","https://www.eu-startups.com/directory/planet-matters/"
"VERDI Solutions","https://www.eu-startups.com/directory/verdi-solutions/"
"Matara","https://www.eu-startups.com/directory/matara/"
"MATR","https://www.eu-startups.com/directory/matr/"
"energiedigital","https://www.eu-startups.com/directory/energiedigital/"
"SpawnX","https://www.eu-startups.com/directory/spawnx/"
"AI Manga Translator","https://www.eu-startups.com/directory/ai-manga-translator/"
"Owl Email","https://www.eu-startups.com/directory/owl-email/"
"Openmart","https://www.eu-startups.com/directory/openmart/"
"Paralino","https://www.eu-startups.com/directory/paralino/"
"IntelliQ","https://www.eu-startups.com/directory/intelliq/"
"Stateshift","https://www.eu-startups.com/directory/stateshift/"
"Larry Consulting","https://www.eu-startups.com/directory/larry-consulting/"
"Rubii","https://www.eu-startups.com/directory/rubii/"
"Avdain","https://www.eu-startups.com/directory/avdain/"
"Softgen","https://www.eu-startups.com/directory/softgen/"
"Popper Power GmbH","https://www.eu-startups.com/directory/popper-power-gmbh/"
"Setter AI","https://www.eu-startups.com/directory/setter-ai/"
"SurveySensum","https://www.eu-startups.com/directory/surveysensum/"
