Name,Link
"LiveCycle","https://www.eu-startups.com/directory/livecycle/"
"Crosslist","https://www.eu-startups.com/directory/crosslist/"
"SplitStay","https://www.eu-startups.com/directory/splitstay/"
"Skypass","https://www.eu-startups.com/directory/skypass/"
"AskWhisper","https://www.eu-startups.com/directory/askwhisper/"
"Dorple","https://www.eu-startups.com/directory/dorple/"
"Maya","https://www.eu-startups.com/directory/maya/"
"Fluidwave","https://www.eu-startups.com/directory/fluidwave/"
"e-invoice.be","https://www.eu-startups.com/directory/e-invoicebe/"
"Raise Better","https://www.eu-startups.com/directory/raise-better/"
"LoanDebtFix","https://www.eu-startups.com/directory/loandebtfix/"
"Pandora IPTV","https://www.eu-startups.com/directory/pandora-iptv/"
"adsfasdf","https://www.eu-startups.com/directory/adsfasdf/"
"Mirapulse","https://www.eu-startups.com/directory/mirapulse/"
"Hemp Nation","https://www.eu-startups.com/directory/hemp-nation/"
"SquadAssist","https://www.eu-startups.com/directory/squadassist/"
"WAVEplus","https://www.eu-startups.com/directory/waveplus/"
"Create-A-Sun","https://www.eu-startups.com/directory/create-a-sun/"
"Cumbaya","https://www.eu-startups.com/directory/cumbaya/"
"Wodan AI","https://www.eu-startups.com/directory/wodan-ai/"
"Sidekick","https://www.eu-startups.com/directory/sidekick/"
"Sokari","https://www.eu-startups.com/directory/sokari/"
"Sevenyoken","https://www.eu-startups.com/directory/sevenyoken/"
"Inner Design","https://www.eu-startups.com/directory/inner-design/"
"Kongé","https://www.eu-startups.com/directory/konge/"
"TriFalyo","https://www.eu-startups.com/directory/trifalyo/"
"KIKLEGAL","https://www.eu-startups.com/directory/kiklegal/"
"babyloop","https://www.eu-startups.com/directory/babyloop/"
"ShqipVille","https://www.eu-startups.com/directory/shqipville/"
"Learn2B","https://www.eu-startups.com/directory/learn2b/"
"CurveCatch","https://www.eu-startups.com/directory/curvecatch/"
"Overtone","https://www.eu-startups.com/directory/overtone/"
"CollectiveUP","https://www.eu-startups.com/directory/collectiveup/"
"PathMetrics","https://www.eu-startups.com/directory/pathmetrics/"
"WebVibe","https://www.eu-startups.com/directory/webvibe/"
"NextSDS","https://www.eu-startups.com/directory/nextsds/"
"Mangara Shoes BV","https://www.eu-startups.com/directory/mangara-shoes-bv/"
"Zeopore Technologies NV","https://www.eu-startups.com/directory/zeopore-technologies-nv/"
"Ai Apps","https://www.eu-startups.com/directory/ai-apps/"
"Website Designer BV","https://www.eu-startups.com/directory/website-designer-bv/"
"Carswitch","https://www.eu-startups.com/directory/carswitch/"
"SparkSpot – Parking","https://www.eu-startups.com/directory/sparkspot-parking/"
"Cool Coloring Pages","https://www.eu-startups.com/directory/cool-coloring-pages/"
"Spott","https://www.eu-startups.com/directory/spott/"
"Klubaro","https://www.eu-startups.com/directory/klubaro/"
"Cavell","https://www.eu-startups.com/directory/cavell/"
"LeuvenFlyers","https://www.eu-startups.com/directory/leuvenflyers/"
"Height Estimator","https://www.eu-startups.com/directory/height-estimator/"
"Wello Solutions Field Service Management","https://www.eu-startups.com/directory/wello-solutions-field-service-management/"
"ExtensionsFox","https://www.eu-startups.com/directory/extensionsfox/"
"CareerCount","https://www.eu-startups.com/directory/careercount/"
"AnotherWrapper","https://www.eu-startups.com/directory/anotherwrapper/"
"Vesalius.ai","https://www.eu-startups.com/directory/vesaliusai/"
"Webleadr","https://www.eu-startups.com/directory/webleadr/"
"Webdevamin","https://www.eu-startups.com/directory/webdevamin/"
"Plenti","https://www.eu-startups.com/directory/plenti/"
"perspectives.pm","https://www.eu-startups.com/directory/perspectivespm/"
"AI Accounting Apps","https://www.eu-startups.com/directory/ai-accounting-apps/"
"Yui Skin","https://www.eu-startups.com/directory/yui-skin/"
