Name,Link
"Persona Key","https://www.eu-startups.com/directory/persona-key/"
"Meinhard Benne","https://www.eu-startups.com/directory/meinhard-benne/"
"Remodify.io","https://www.eu-startups.com/directory/remodifyio/"
"Pinpointed","https://www.eu-startups.com/directory/pinpointed/"
"OCTOCELLS","https://www.eu-startups.com/directory/octocells/"
"Fluum","https://www.eu-startups.com/directory/fluum/"
"Activhandi","https://www.eu-startups.com/directory/activhandi/"
"Advisena","https://www.eu-startups.com/directory/advisena/"
"Générateur Mots Mêlés","https://www.eu-startups.com/directory/generateur-mots-meles/"
"Lightyshare","https://www.eu-startups.com/directory/lightyshare/"
"Findly Tools","https://www.eu-startups.com/directory/findly-tools/"
"Foxtrot Aviation","https://www.eu-startups.com/directory/foxtrot-aviation/"
"MONSAPO","https://www.eu-startups.com/directory/monsapo/"
"Skyted","https://www.eu-startups.com/directory/skyted/"
"Guidel","https://www.eu-startups.com/directory/guidel/"
"Soara","https://www.eu-startups.com/directory/soara/"
"myDid","https://www.eu-startups.com/directory/mydid/"
"Frames","https://www.eu-startups.com/directory/frames/"
"DocShipper Qatar FR","https://www.eu-startups.com/directory/docshipper-qatar-fr/"
"TokScraper","https://www.eu-startups.com/directory/tokscraper/"
"Smartshort","https://www.eu-startups.com/directory/smartshort/"
"Maisons Elégance","https://www.eu-startups.com/directory/maisons-elegance/"
"Quivr","https://www.eu-startups.com/directory/quivr/"
"Voxygen (AI TTS expressive voices)","https://www.eu-startups.com/directory/voxygen-ai-tts-expressive-voices/"
"Chunk","https://www.eu-startups.com/directory/chunk/"
"GATE C","https://www.eu-startups.com/directory/gate-c/"
"Dropmagic","https://www.eu-startups.com/directory/dropmagic/"
"Colorazen","https://www.eu-startups.com/directory/colorazen/"
"Kosmik","https://www.eu-startups.com/directory/kosmik/"
"Magical Events","https://www.eu-startups.com/directory/magical-events/"
"Wave Instagram Outreach","https://www.eu-startups.com/directory/wave-instagram-outreach/"
"Emelia.io","https://www.eu-startups.com/directory/emeliaio/"
"Veille.io","https://www.eu-startups.com/directory/veilleio/"
"Macfleet","https://www.eu-startups.com/directory/macfleet/"
"Slidor","https://www.eu-startups.com/directory/slidor/"
"Open-Launch","https://www.eu-startups.com/directory/open-launch/"
"EcoComply","https://www.eu-startups.com/directory/ecocomply/"
"FINDS","https://www.eu-startups.com/directory/finds/"
"Somvan","https://www.eu-startups.com/directory/somvan/"
"EVIMO","https://www.eu-startups.com/directory/evimo/"
"PrimaSTEM","https://www.eu-startups.com/directory/primastem/"
"Kolomb","https://www.eu-startups.com/directory/kolomb/"
"MitaMita","https://www.eu-startups.com/directory/mitamita/"
"The AIgents","https://www.eu-startups.com/directory/the-aigents/"
"OPTIMA","https://www.eu-startups.com/directory/optima/"
