Name,Link
"clockin","https://www.eu-startups.com/directory/clockin/"
"Emproof","https://www.eu-startups.com/directory/emproof/"
"Buchbaum.de","https://www.eu-startups.com/directory/buchbaumde/"
"shopvibes","https://www.eu-startups.com/directory/shopvibes-2/"
"Find-Your-Software","https://www.eu-startups.com/directory/find-your-software/"
"ConbaseAI","https://www.eu-startups.com/directory/conbaseai/"
"suchimpuls","https://www.eu-startups.com/directory/suchimpuls/"
"Aurelytix","https://www.eu-startups.com/directory/aurelytix/"
"Heimat Software","https://www.eu-startups.com/directory/heimat-software/"
"HIBS Germany","https://www.eu-startups.com/directory/hibs-germany/"
"RechnungsAPI","https://www.eu-startups.com/directory/rechnungsapi/"
"iknowly","https://www.eu-startups.com/directory/iknowly/"
"Memtime GmbH","https://www.eu-startups.com/directory/memtime-gmbh/"
"Monee","https://www.eu-startups.com/directory/monee/"
"Fybu","https://www.eu-startups.com/directory/fybu/"
"GetDot.Ai","https://www.eu-startups.com/directory/getdotai/"
"Careertrainer.ai","https://www.eu-startups.com/directory/careertrainerai/"
"Fifth Axis","https://www.eu-startups.com/directory/fifth-axis/"
"FAVZ","https://www.eu-startups.com/directory/favz/"
"vayada","https://www.eu-startups.com/directory/vayada/"
"Equera","https://www.eu-startups.com/directory/equera/"
"SnapIQ AI, Inc.","https://www.eu-startups.com/directory/snapiq-ai-inc/"
"ReLUGG","https://www.eu-startups.com/directory/relugg/"
"Modifly","https://www.eu-startups.com/directory/modifly/"
"Tourist: AI Trip Planner","https://www.eu-startups.com/directory/tourist-ai-trip-planner/"
"flygge UG","https://www.eu-startups.com/directory/flygge-ug/"
"Ciceru","https://www.eu-startups.com/directory/ciceru/"
"spotAR","https://www.eu-startups.com/directory/spotar/"
"Bukmo","https://www.eu-startups.com/directory/bukmo/"
"SurveyCircle","https://www.eu-startups.com/directory/surveycircle/"
"OnlineLebensaluf","https://www.eu-startups.com/directory/onlinelebensaluf/"
"DKSR GmbH","https://www.eu-startups.com/directory/dksr-gmbh/"
"Higo Local Meet Global","https://www.eu-startups.com/directory/higo-local-meet-global/"
"Alsona","https://www.eu-startups.com/directory/alsona/"
"Mailcracker PRO","https://www.eu-startups.com/directory/mailcracker-pro/"
"info.link","https://www.eu-startups.com/directory/info.link"
"Blickwerk Technologie","https://www.eu-startups.com/directory/blickwerk-technologie/"
"mutmaeen-llc","https://www.eu-startups.com/directory/mutmaeen-llc/"
"Anchor Browser","https://www.eu-startups.com/directory/anchor-browser/"
"Partbase","https://www.eu-startups.com/directory/partbase/"
"CopyPilot","https://www.eu-startups.com/directory/copypilot/"
"Webmetic","https://www.eu-startups.com/directory/webmetic/"
"Invoice AI","https://www.eu-startups.com/directory/invoice-ai/"
"Peblan – Custom Software Development","https://www.eu-startups.com/directory/peblan-custom-software-development/"
"ProxyBlocks","https://www.eu-startups.com/directory/proxyblocks/"
"Flexopus GmbH","https://www.eu-startups.com/directory/flexopus-gmbh/"
"Multiplye","https://www.eu-startups.com/directory/multiplye/"
"PostFlow","https://www.eu-startups.com/directory/postflow/"
"Wells and Willow","https://www.eu-startups.com/directory/wells-and-willow/"
"TRAKKER","https://www.eu-startups.com/directory/trakker/"
"Puraite","https://www.eu-startups.com/directory/puraite/"
"Dynste","https://www.eu-startups.com/directory/dynste/"
"impactBee","https://www.eu-startups.com/directory/impactbee/"
"Chilloza","https://www.eu-startups.com/directory/chilloza/"
"Metalonn","https://www.eu-startups.com/directory/metalonn/"
"Alon Health","https://www.eu-startups.com/directory/alon-health/"
"micro factory","https://www.eu-startups.com/directory/micro-factory/"
"Alithea Biotechnology","https://www.eu-startups.com/directory/alithea-biotechnology/"
"Fyrce Care","https://www.eu-startups.com/directory/fyrce-care/"
"topshelf","https://www.eu-startups.com/directory/topshelf/"
"clearlea.se","https://www.eu-startups.com/directory/clearlease/"
"CARTemis Therapeutics","https://www.eu-startups.com/directory/cartemis-therapeutics/"
"Prosess Navigation","https://www.eu-startups.com/directory/prosess-navigation/"
"Rhesis AI","https://www.eu-startups.com/directory/rhesis-ai/"
"Opteinics","https://www.eu-startups.com/directory/opteinics/"
"EazyPay Europe","https://www.eu-startups.com/directory/eazypay-europe/"
"tripio.co","https://www.eu-startups.com/directory/tripioco/"
"CinSOIL","https://www.eu-startups.com/directory/cinsoil/"
"iFrame","https://www.eu-startups.com/directory/iframe/"
"Beautechful","https://www.eu-startups.com/directory/beautechful/"
"Resycure","https://www.eu-startups.com/directory/resycure/"
"DATFID","https://www.eu-startups.com/directory/datfid/"
"Basec","https://www.eu-startups.com/directory/basec/"
"telius.ai","https://www.eu-startups.com/directory/teliusai/"
"Ailoys","https://www.eu-startups.com/directory/ailoys/"
"Scripe","https://www.eu-startups.com/directory/scripe/"
"Bloom Future","https://www.eu-startups.com/directory/bloom-future/"
"BIOPLANTIC","https://www.eu-startups.com/directory/bioplantic/"
"QuSine","https://www.eu-startups.com/directory/qusine/"
"Cleendrop","https://www.eu-startups.com/directory/cleendrop/"
"SmartSylvan","https://www.eu-startups.com/directory/smartsylvan/"
"Romiro Robotic","https://www.eu-startups.com/directory/romiro-robotic/"
"German Campus","https://www.eu-startups.com/directory/german-campus/"
"Climate Trainers","https://www.eu-startups.com/directory/climate-trainers/"
"fjalla","https://www.eu-startups.com/directory/fjalla/"
"Repari","https://www.eu-startups.com/directory/repari/"
"familymind AI","https://www.eu-startups.com/directory/familymind-ai/"
"Lokko","https://www.eu-startups.com/directory/lokko/"
"prosperly","https://www.eu-startups.com/directory/prosperly/"
"TGU Velout","https://www.eu-startups.com/directory/tgu-velout/"
"AI VisionGuard","https://www.eu-startups.com/directory/ai-visionguard/"
"HiParly","https://www.eu-startups.com/directory/hiparly/"
"RESEARCHPRENEURS","https://www.eu-startups.com/directory/researchpreneurs/"
"AiX Insights","https://www.eu-startups.com/directory/aix-insights/"
"SmartAIs","https://www.eu-startups.com/directory/smartais/"
"Sapper Intelligence","https://www.eu-startups.com/directory/sapper-intelligence/"
"Mimiq AI","https://www.eu-startups.com/directory/mimiq-ai/"
"Get Out","https://www.eu-startups.com/directory/get-out/"
"capcue","https://www.eu-startups.com/directory/capcue/"
"philia","https://www.eu-startups.com/directory/philia/"
"Palito","https://www.eu-startups.com/directory/palito/"
"Queen Global","https://www.eu-startups.com/directory/queen-global/"
"Cerryx","https://www.eu-startups.com/directory/cerryx/"
"Glokal AI","https://www.eu-startups.com/directory/glokal-ai/"
"MailFlow","https://www.eu-startups.com/directory/mailflow/"
"wempyre","https://www.eu-startups.com/directory/wempyre/"
"FizzyFort","https://www.eu-startups.com/directory/fizzyfort/"
"kalasar","https://www.eu-startups.com/directory/kalasar/"
"TenderAI","https://www.eu-startups.com/directory/tenderai/"
"DynamoBot","https://www.eu-startups.com/directory/dynamobot/"
"Innobotics","https://www.eu-startups.com/directory/innobotics/"
"TAG Capital","https://www.eu-startups.com/directory/tag-capital/"
"EssNetz","https://www.eu-startups.com/directory/essnetz/"
"FairUp","https://www.eu-startups.com/directory/fairup/"
"comdaily","https://www.eu-startups.com/directory/comdaily/"
"Syntec DTx","https://www.eu-startups.com/directory/syntec-dtx/"
"LearnGraph","https://www.eu-startups.com/directory/learngraph/"
"MAD","https://www.eu-startups.com/directory/mad/"
"Future Food Alternatives","https://www.eu-startups.com/directory/future-food-alternatives/"
"Airgonomics.ai","https://www.eu-startups.com/directory/airgonomicsai/"
"Breathment","https://www.eu-startups.com/directory/breathment/"
"ART OF REASON","https://www.eu-startups.com/directory/art-of-reason/"
"Machador","https://www.eu-startups.com/directory/machador/"
"Spreat","https://www.eu-startups.com/directory/spreat/"
"Nala AI","https://www.eu-startups.com/directory/nala-ai/"
"Nexus Politics","https://www.eu-startups.com/directory/nexus-politics/"
"Seedsight","https://www.eu-startups.com/directory/seedsight/"
"Codyco AI","https://www.eu-startups.com/directory/codyco-ai/"
"Termino","https://www.eu-startups.com/directory/termino/"
"GrofleX Technologies","https://www.eu-startups.com/directory/groflex-technologies/"
"Apollo","https://www.eu-startups.com/directory/apollo/"
"heyVR.io","https://www.eu-startups.com/directory/heyvrio/"
"WE4ALL","https://www.eu-startups.com/directory/we4all/"
"Stocklet","https://www.eu-startups.com/directory/stocklet/"
"eco:fibr","https://www.eu-startups.com/directory/ecofibr/"
"integme","https://www.eu-startups.com/directory/integme/"
"heyroom","https://www.eu-startups.com/directory/heyroom/"
"Flable.ai","https://www.eu-startups.com/directory/flableai/"
"qoob","https://www.eu-startups.com/directory/qoob/"
"MIRA vision","https://www.eu-startups.com/directory/mira-vision/"
"SmartLoC","https://www.eu-startups.com/directory/smartloc/"
"Roof Space","https://www.eu-startups.com/directory/roof-space/"
"match.care","https://www.eu-startups.com/directory/match.care"
"INES Analytics","https://www.eu-startups.com/directory/ines-analytics/"
"NOMAD X COLLECTIVE","https://www.eu-startups.com/directory/nomad-x-collective/"
"ConvogridAI","https://www.eu-startups.com/directory/convogridai/"
"URVI GmbH","https://www.eu-startups.com/directory/urvi-gmbh/"
"Titantrek","https://www.eu-startups.com/directory/titantrek/"
"Lyra Network GmbH","https://www.eu-startups.com/directory/lyra-network-gmbh/"
"Snorly","https://www.eu-startups.com/directory/snorly/"
"Crovillas GmbH","https://www.eu-startups.com/directory/crovillas-gmbh/"
"Smallest.ai","https://www.eu-startups.com/directory/smallestai/"
"Picturo Photography UG","https://www.eu-startups.com/directory/picturo-photography-ug/"
"NewMail AI","https://www.eu-startups.com/directory/newmail-ai/"
"PALPRINT","https://www.eu-startups.com/directory/palprint/"
"Aschau Go","https://www.eu-startups.com/directory/aschau-go/"
