Name,Link
"Emblem","https://www.eu-startups.com/directory/emblem/"
"EasyBiz","https://www.eu-startups.com/directory/easybiz/"
"Chronotax","https://www.eu-startups.com/directory/chronotax/"
"ElleQuant","https://www.eu-startups.com/directory/ellequant/"
"C1 Innovations","https://www.eu-startups.com/directory/c1-innovations/"
"Vai","https://www.eu-startups.com/directory/vai/"
"CryptaCount","https://www.eu-startups.com/directory/cryptacount/"
"Rescape AI","https://www.eu-startups.com/directory/rescape-ai/"
"College Tools","https://www.eu-startups.com/directory/college-tools/"
"OKR Dash","https://www.eu-startups.com/directory/okr-dash/"
"BlazeSQL","https://www.eu-startups.com/directory/blazesql/"
"Capyflow","https://www.eu-startups.com/directory/capyflow/"
"LetzAI","https://www.eu-startups.com/directory/letzai/"
"CamoCopy","https://www.eu-startups.com/directory/camocopy/"
"TraceCrystal","https://www.eu-startups.com/directory/tracecrystal/"
"FabstWines","https://www.eu-startups.com/directory/fabstwines/"
"Diversified","https://www.eu-startups.com/directory/diversified/"
"CodeClarity","https://www.eu-startups.com/directory/codeclarity/"
"BeyondEx","https://www.eu-startups.com/directory/beyondex/"
"invitrolize","https://www.eu-startups.com/directory/invitrolize/"
"Äerd Lab","https://www.eu-startups.com/directory/aerd-lab/"
"SpaceRadar","https://www.eu-startups.com/directory/spaceradar/"
"NexusOps","https://www.eu-startups.com/directory/nexusops/"
"morfin.io","https://www.eu-startups.com/directory/morfinio/"
"DogStays","https://www.eu-startups.com/directory/dogstays/"
"Nutri-bay.com","https://www.eu-startups.com/directory/nutri-bay.com"
"BigBro.AI","https://www.eu-startups.com/directory/bigbroai/"
"LetzPaws","https://www.eu-startups.com/directory/letzpaws/"
"Socially.lu","https://www.eu-startups.com/directory/socially-a-saas-based-social-network/"
"Nayyr","https://www.eu-startups.com/directory/nayyr/"
"STARGATE","https://www.eu-startups.com/directory/stargate/"
"MyWosh","https://www.eu-startups.com/directory/mywosh/"
"Fiveoffices","https://www.eu-startups.com/directory/fiveoffices/"
"My Nextdoor","https://www.eu-startups.com/directory/my-nextdoor/"
"SKYT Holding","https://www.eu-startups.com/directory/skyt-holding/"
"MachineryScanner","https://www.eu-startups.com/directory/machineryscanner/"
"Fundvis","https://www.eu-startups.com/directory/fundvis/"
"Xuppi","https://www.eu-startups.com/directory/xuppi/"
"ElleQuant","https://www.eu-startups.com/directory/ellequant-2/"
"Schoolmait","https://www.eu-startups.com/directory/schoolmait/"
"Gonuggets","https://www.eu-startups.com/directory/gonuggets/"
"SecSelS","https://www.eu-startups.com/directory/secsels/"
"mynextdoor","https://www.eu-startups.com/directory/mynextdoor/"
"Invoport","https://www.eu-startups.com/directory/invoport/"
"Enamply","https://www.eu-startups.com/directory/enamply-2/"
"Orevon Partners","https://www.eu-startups.com/directory/orevon-partners/"
"Vestis labs","https://www.eu-startups.com/directory/vestis-labs/"
"SourceAI","https://www.eu-startups.com/directory/sourceai-2/"
"RDX","https://www.eu-startups.com/directory/rdx/"
"Propchain","https://www.eu-startups.com/directory/propchain/"
"Planned.me","https://www.eu-startups.com/directory/planned-me/"
"OWNERO","https://www.eu-startups.com/directory/ownero/"
"Mission Space","https://www.eu-startups.com/directory/mission-space-2/"
"MediNation","https://www.eu-startups.com/directory/medination/"
"Docify","https://www.eu-startups.com/directory/docify/"
"DEFYCA","https://www.eu-startups.com/directory/defyca/"
"Cherry.tv","https://www.eu-startups.com/directory/cherry-tv/"
"B-ON","https://www.eu-startups.com/directory/b-on/"
"BlocHome","https://www.eu-startups.com/directory/blochome/"
