Name,Link
"InAppStory","https://www.eu-startups.com/directory/inappstory-2/"
"Widget.video","https://www.eu-startups.com/directory/widgetvideo/"
"Papayya","https://www.eu-startups.com/directory/papayya/"
"HostyAI","https://www.eu-startups.com/directory/hostyai/"
"GiGzy","https://www.eu-startups.com/directory/gigzy/"
"Maven Pet","https://www.eu-startups.com/directory/maven-pet/"
"InAppStory","https://www.eu-startups.com/directory/inappstory/"
"Rent Anything","https://www.eu-startups.com/directory/rent-anything/"
"Enline","https://www.eu-startups.com/directory/enline/"
"Seamoretech","https://www.eu-startups.com/directory/seamoretech/"
"Blue Insight Technologies","https://www.eu-startups.com/directory/blue-insight-technologies/"
"Tradebp","https://www.eu-startups.com/directory/tradebp/"
"Bamble","https://www.eu-startups.com/directory/bamble/"
"RD2Buzz Europa","https://www.eu-startups.com/directory/rd2buzz-europa/"
"Vet Before Peet","https://www.eu-startups.com/directory/vet-before-peet/"
"ScholarLink","https://www.eu-startups.com/directory/scholarlink/"
"Endo","https://www.eu-startups.com/directory/endo/"
"VedeVolta","https://www.eu-startups.com/directory/vedevolta/"
"Glidescale","https://www.eu-startups.com/directory/glidescale/"
"Niara","https://www.eu-startups.com/directory/niara/"
"Seeds on Wheels","https://www.eu-startups.com/directory/seeds-on-wheels/"
"Jsonify","https://www.eu-startups.com/directory/jsonify/"
"hosyAI","https://www.eu-startups.com/directory/hosyai/"
"Midcontract","https://www.eu-startups.com/directory/midcontract/"
"Susplus","https://www.eu-startups.com/directory/susplus/"
"F4A – Forest for All","https://www.eu-startups.com/directory/f4a-forest-for-all/"
"URBNED","https://www.eu-startups.com/directory/urbned/"
"Apollo Medica","https://www.eu-startups.com/directory/apollo-medica/"
"ByTheLaw","https://www.eu-startups.com/directory/bythelaw/"
"Denergyfarm","https://www.eu-startups.com/directory/denergyfarm/"
"Laya cycle","https://www.eu-startups.com/directory/laya-cycle/"
"Assumart","https://www.eu-startups.com/directory/assumart/"
"Lighttheworldhub","https://www.eu-startups.com/directory/lighttheworldhub/"
"Jetconf","https://www.eu-startups.com/directory/jetconf/"
"LogisticsWMS","https://www.eu-startups.com/directory/logisticswms/"
"Tilect","https://www.eu-startups.com/directory/tilect/"
"Vume","https://www.eu-startups.com/directory/vume/"
