Name,Link
"MarketAlerts.ai","https://www.eu-startups.com/directory/marketalertsai/"
"Lailai Therapy","https://www.eu-startups.com/directory/lailai-therapy/"
"Socialeasator","https://www.eu-startups.com/directory/socialeasator/"
"GOVAR SPEAKING PRACTICE CLUB","https://www.eu-startups.com/directory/govar-speaking-practice-club/"
"Quantifly","https://www.eu-startups.com/directory/quantifly/"
"Truecall","https://www.eu-startups.com/directory/truecall/"
"PeakBeats","https://www.eu-startups.com/directory/peakbeats/"
"aitryon-art.Inc","https://www.eu-startups.com/directory/aitryon-art.inc"
"X1 Pipeline","https://www.eu-startups.com/directory/x1-pipeline/"
"StartupCMO","https://www.eu-startups.com/directory/startupcmo/"
"SimplerWork AI","https://www.eu-startups.com/directory/simplerwork-ai/"
"DORApp","https://www.eu-startups.com/directory/dorapp/"
"d.labs","https://www.eu-startups.com/directory/d.labs"
"CartBoss","https://www.eu-startups.com/directory/cartboss/"
"Specialty Kava Slovenia","https://www.eu-startups.com/directory/specialty-kava-slovenia/"
"Parakeet AI","https://www.eu-startups.com/directory/parakeet-ai/"
"Lime Booking","https://www.eu-startups.com/directory/lime-booking/"
"Mysteria Colorum","https://www.eu-startups.com/directory/mysteria-colorum/"
"Sportbot","https://www.eu-startups.com/directory/sportbot/"
"Remea","https://www.eu-startups.com/directory/remea/"
"ReCatalyst","https://www.eu-startups.com/directory/recatalyst/"
"Bizz.io","https://www.eu-startups.com/directory/bizzio/"
"SailAway","https://www.eu-startups.com/directory/sailaway/"
"LynxCraft","https://www.eu-startups.com/directory/lynxcraft/"
"Re/Marka","https://www.eu-startups.com/directory/remarka/"
"Phare","https://www.eu-startups.com/directory/phare/"
"DDDinvoices","https://www.eu-startups.com/directory/dddinvoices/"
"Charg3","https://www.eu-startups.com/directory/charg3/"
"Beyond Motors","https://www.eu-startups.com/directory/beyond-motors/"
"Flai","https://www.eu-startups.com/directory/flai/"
"ESG Studios","https://www.eu-startups.com/directory/esg-studios/"
"Beyond Motors","https://www.eu-startups.com/directory/beyond-motors-2/"
"X-Ray.contact","https://www.eu-startups.com/directory/x-ray-contact/"
"Take Profit Academy","https://www.eu-startups.com/directory/take-profit-academy/"
"DeltaHub","https://www.eu-startups.com/directory/deltahub/"
"Kings of Games","https://www.eu-startups.com/directory/kings-of-games/"
"ACEX","https://www.eu-startups.com/directory/acex/"
"Microbium","https://www.eu-startups.com/directory/microbium/"
"Juicefast","https://www.eu-startups.com/directory/juicefast/"
"SaleSqueze d.o.o.","https://www.eu-startups.com/directory/salesqueze-d-o-o/"
"Flux Motorcycles","https://www.eu-startups.com/directory/flux-motorcycles/"
"Clout.art","https://www.eu-startups.com/directory/clout-art/"
"Confiva Global","https://www.eu-startups.com/directory/confiva-global/"
"Quantifly","https://www.eu-startups.com/directory/quantifly/"
"SPEKTRAL Seismic Solutions","https://www.eu-startups.com/directory/spektral-seismic-solutions/"
"White Hydrogen Coalition","https://www.eu-startups.com/directory/white-hydrogen-coalition/"
"Indigo Labs","https://www.eu-startups.com/directory/indigo-labs/"
"PC Agent","https://www.eu-startups.com/directory/pc-agent/"
"Receipt Manager","https://www.eu-startups.com/directory/receipt-manager/"
"brainstorming","https://www.eu-startups.com/directory/brainstorming/"
"AdSigner","https://www.eu-startups.com/directory/adsigner/"
"ROAS monster","https://www.eu-startups.com/directory/roas-monster/"
"Proky","https://www.eu-startups.com/directory/proky/"
"GreenMesh","https://www.eu-startups.com/directory/greenmesh/"
"Glossiq","https://www.eu-startups.com/directory/glossiq/"
"Briefd","https://www.eu-startups.com/directory/briefd/"
"Cultisan","https://www.eu-startups.com/directory/cultisan-2/"
"AutoBrief","https://www.eu-startups.com/directory/autobrief/"
"NYD.care","https://www.eu-startups.com/directory/nyd-care/"
"YFLab","https://www.eu-startups.com/directory/yflab/"
"VisionAnchor","https://www.eu-startups.com/directory/visionanchor/"
"Pablu.tv","https://www.eu-startups.com/directory/pablu-tv/"
"Cultisan","https://www.eu-startups.com/directory/cultisan/"
"EPIDEMIC","https://www.eu-startups.com/directory/epidemic/"
