Name,Link
"Klykd","https://www.eu-startups.com/directory/klykd/"
"Edka","https://www.eu-startups.com/directory/edka/"
"Pulse Now","https://www.eu-startups.com/directory/pulse-now/"
"Golova.ai","https://www.eu-startups.com/directory/golovaai/"
"Passwork – Self Hosted Password Manager","https://www.eu-startups.com/directory/passwork-self-hosted-password-manager/"
"Lael – Spanish Word of the Day","https://www.eu-startups.com/directory/lael-spanish-word-of-the-day/"
"Ingresos Vip","https://www.eu-startups.com/directory/ingresos-vip-2/"
"Engagico","https://www.eu-startups.com/directory/engagico/"
"Permut","https://www.eu-startups.com/directory/permut/"
"Meetbooker.com","https://www.eu-startups.com/directory/meetbooker.com"
"Transpocket","https://www.eu-startups.com/directory/transpocket/"
"Niche Traffic Kit","https://www.eu-startups.com/directory/niche-traffic-kit/"
"TikiRev","https://www.eu-startups.com/directory/tikirev/"
"Freeroom App","https://www.eu-startups.com/directory/freeroom-app/"
"Penelope.Travel","https://www.eu-startups.com/directory/penelopetravel/"
"Sanxo","https://www.eu-startups.com/directory/sanxo/"
"il Botticelli","https://www.eu-startups.com/directory/il-botticelli/"
"Twipe","https://www.eu-startups.com/directory/twipe/"
"Hostmate","https://www.eu-startups.com/directory/hostmate/"
"VIVIO","https://www.eu-startups.com/directory/vivio/"
"Healing Travels","https://www.eu-startups.com/directory/healing-travels/"
"Glapp","https://www.eu-startups.com/directory/glapp/"
"Eventmaker","https://www.eu-startups.com/directory/eventmaker/"
"Tripresale","https://www.eu-startups.com/directory/tripresale/"
"Controlá","https://www.eu-startups.com/directory/controla/"
"Placenet Internet of Places, S.L.","https://www.eu-startups.com/directory/placenet-internet-of-places-sl/"
"Revel Sports","https://www.eu-startups.com/directory/revel-sports/"
"Asven Technologies SL","https://www.eu-startups.com/directory/asven-technologies-sl/"
"MasterMind · Tech","https://www.eu-startups.com/directory/mastermind-tech/"
"CityMe AI","https://www.eu-startups.com/directory/cityme-ai/"
"Paximizer","https://www.eu-startups.com/directory/paximizer/"
"Catalyst48 Studio","https://www.eu-startups.com/directory/catalyst48-studio/"
"ButterflAI","https://www.eu-startups.com/directory/butterflai/"
"Introwarm","https://www.eu-startups.com/directory/introwarm/"
"Neuronovate Consulting","https://www.eu-startups.com/directory/neuronovate-consulting/"
"Ateni","https://www.eu-startups.com/directory/ateni/"
"Boathous Charter S.L","https://www.eu-startups.com/directory/boathous-charter-sl/"
"Foldwrap","https://www.eu-startups.com/directory/foldwrap/"
"renn","https://www.eu-startups.com/directory/renn/"
"AI dream interpreter","https://www.eu-startups.com/directory/ai-dream-interpreter/"
"DeepWorq AI","https://www.eu-startups.com/directory/deepworq-ai/"
"Holo Health","https://www.eu-startups.com/directory/holo-health/"
"Scripsy","https://www.eu-startups.com/directory/scripsy/"
"ClikBy","https://www.eu-startups.com/directory/clikby/"
"RENTAL NINJA","https://www.eu-startups.com/directory/rental-ninja/"
"Artemis Leads","https://www.eu-startups.com/directory/artemis-leads/"
"breaqs","https://www.eu-startups.com/directory/breaqs/"
"MediGuide","https://www.eu-startups.com/directory/mediguide/"
"Entrii AI","https://www.eu-startups.com/directory/entrii-ai/"
"Crowmie","https://www.eu-startups.com/directory/crowmie/"
"HIFAS INNOVATION HUB, S.L.U.","https://www.eu-startups.com/directory/hifas-innovation-hub-slu/"
"QRNow","https://www.eu-startups.com/directory/qrnow/"
"OnlineCV España","https://www.eu-startups.com/directory/onlinecv-espana/"
"Veos Pharmaceuticals","https://www.eu-startups.com/directory/veos-pharmaceuticals/"
"Praefy","https://www.eu-startups.com/directory/praefy/"
"Robodost","https://www.eu-startups.com/directory/robodost/"
"Zarabanda","https://www.eu-startups.com/directory/zarabanda/"
"TECHWICH","https://www.eu-startups.com/directory/techwich/"
"ELNIQ","https://www.eu-startups.com/directory/elniq/"
"Robomecatech Group","https://www.eu-startups.com/directory/robomecatech-group/"
"Circular Powder","https://www.eu-startups.com/directory/circular-powder/"
"Impressoracorp","https://www.eu-startups.com/directory/impressoracorp/"
"Macrocarbon","https://www.eu-startups.com/directory/macrocarbon/"
"Bein Mindset","https://www.eu-startups.com/directory/bein-mindset/"
"RECLAIM.","https://www.eu-startups.com/directory/reclaim/"
"OmniaX International","https://www.eu-startups.com/directory/omniax-international/"
"Wemate","https://www.eu-startups.com/directory/w.mate"
"PERSEI Space","https://www.eu-startups.com/directory/persei-space/"
"Online Trading","https://www.eu-startups.com/directory/online-trading/"
"Crypthub","https://www.eu-startups.com/directory/crypthub/"
"Mube","https://www.eu-startups.com/directory/mube/"
"Mint Link","https://www.eu-startups.com/directory/mint-link/"
"Travelandz","https://www.eu-startups.com/directory/travelandz/"
"Grasshopper Air Mobility","https://www.eu-startups.com/directory/grasshopper-air-mobility/"
"OnPole","https://www.eu-startups.com/directory/onpole/"
"artlovers","https://www.eu-startups.com/directory/artlovers/"
"RaiserFlow","https://www.eu-startups.com/directory/raiserflow/"
"Context Protocol","https://www.eu-startups.com/directory/context-protocol/"
"DRESSMOCRACY","https://www.eu-startups.com/directory/dressmocracy/"
"Tribu World","https://www.eu-startups.com/directory/tribu-world/"
"Sheldonn","https://www.eu-startups.com/directory/sheldonn/"
"Cultures Link","https://www.eu-startups.com/directory/cultures-link/"
"Standtrack","https://www.eu-startups.com/directory/standtrack/"
"Trendia","https://www.eu-startups.com/directory/trendia/"
"Revizze","https://www.eu-startups.com/directory/revizze/"
"Apprvd","https://www.eu-startups.com/directory/apprvd/"
"SynerGen Technologies, S.L.","https://www.eu-startups.com/directory/synergen-technologies-sl/"
"neonectar","https://www.eu-startups.com/directory/neonectar/"
"VYVA","https://www.eu-startups.com/directory/vyva/"
"Grade ERP","https://www.eu-startups.com/directory/grade-erp/"
"edureer","https://www.eu-startups.com/directory/edureer/"
"Viajaturitmo","https://www.eu-startups.com/directory/viajaturitmo/"
"AI Sheets","https://www.eu-startups.com/directory/ai-sheets/"
"Diversalytics","https://www.eu-startups.com/directory/diversalytics/"
"Overwatch AI","https://www.eu-startups.com/directory/overwatch-ai/"
"Locally.Farm","https://www.eu-startups.com/directory/locally.farm"
"Acute XR","https://www.eu-startups.com/directory/acute-xr/"
"ATOM H2","https://www.eu-startups.com/directory/atom-h2/"
"BioBright","https://www.eu-startups.com/directory/biobright/"
"Reviero","https://www.eu-startups.com/directory/reviero/"
"ConnectEd","https://www.eu-startups.com/directory/connected/"
"Zenblog","https://www.eu-startups.com/directory/zenblog/"
"Redtrucks","https://www.eu-startups.com/directory/redtrucks/"
"Jetfy","https://www.eu-startups.com/directory/jetfy/"
"Ekuantia","https://www.eu-startups.com/directory/ekuantia/"
"XIMDEX","https://www.eu-startups.com/directory/ximdex/"
"Acute XR","https://www.eu-startups.com/directory/acute-xr/"
"Interactive CV","https://www.eu-startups.com/directory/interactive-cv/"
"Javier Escartin","https://www.eu-startups.com/directory/javier-escartin/"
"Oriane","https://www.eu-startups.com/directory/oriane/"
"GetUser AI","https://www.eu-startups.com/directory/getuser-ai/"
"ChatPro AI","https://www.eu-startups.com/directory/chatpro-ai/"
"Wealth Reader: Open banking API for Those Who Choose to Know","https://www.eu-startups.com/directory/wealth-reader-open-banking-api-for-those-who-choose-to-know/"
"NSF Proposals","https://www.eu-startups.com/directory/nsf-proposals/"
"rhytmo","https://www.eu-startups.com/directory/rhytmo/"
"InsectBiotech","https://www.eu-startups.com/directory/insectbiotech/"
"Quimivita","https://www.eu-startups.com/directory/quimivita/"
"Banko ID","https://www.eu-startups.com/directory/banko-id/"
"Dragsa","https://www.eu-startups.com/directory/dragsa/"
"CodeRank","https://www.eu-startups.com/directory/coderank/"
"DeepRFP","https://www.eu-startups.com/directory/deeprfp/"
"Intellect Healthcare Marketing","https://www.eu-startups.com/directory/intellect-healthcare-marketing/"
"Seoritmo","https://www.eu-startups.com/directory/seoritmo/"
"NeuralTrust","https://www.eu-startups.com/directory/neuraltrust/"
"Espanido","https://www.eu-startups.com/directory/espanido/"
"Extruct AI","https://www.eu-startups.com/directory/extruct-ai/"
"IkolCrane","https://www.eu-startups.com/directory/ikolcrane/"
"Job Bridge","https://www.eu-startups.com/directory/job-bridge/"
"HVL Stores","https://www.eu-startups.com/directory/hvl-stores/"
"Cuidocs","https://www.eu-startups.com/directory/cuidocs/"
"Nabla Audio","https://www.eu-startups.com/directory/nabla-audio/"
"Survser","https://www.eu-startups.com/directory/survser/"
"GetInvoice","https://www.eu-startups.com/directory/getinvoice/"
"ButterflAI","https://www.eu-startups.com/directory/butterflai/"
"Archcode","https://www.eu-startups.com/directory/archcode/"
"Biokiri S.C.A","https://www.eu-startups.com/directory/biokiri-sca/"
"Ludens Studio SL","https://www.eu-startups.com/directory/ludens-studio-sl/"
"newledger.io – Accounting","https://www.eu-startups.com/directory/newledgerio-accounting/"
"Referity","https://www.eu-startups.com/directory/referity/"
"Kultrip","https://www.eu-startups.com/directory/kultrip/"
"Secrets Vault","https://www.eu-startups.com/directory/secrets-vault/"
"Affiliate For Creators","https://www.eu-startups.com/directory/affiliate-for-creators/"
"Openfort","https://www.eu-startups.com/directory/openfort/"
"edureer","https://www.eu-startups.com/directory/edureer/"
"Migroot","https://www.eu-startups.com/directory/migroot/"
"AI Chatbot Hub","https://www.eu-startups.com/directory/ai-chatbot-hub/"
"Suitpax","https://www.eu-startups.com/directory/suitpax/"
"IMG2HTML","https://www.eu-startups.com/directory/img2html/"
"Buzz App","https://www.eu-startups.com/directory/buzz-app/"
"Zertia","https://www.eu-startups.com/directory/zertia/"
"Veeeet","https://www.eu-startups.com/directory/veeeet/"
"Acute XR","https://www.eu-startups.com/directory/acute-xr/"
"Maite.ai","https://www.eu-startups.com/directory/maiteai/"
"Nido","https://www.eu-startups.com/directory/nido/"
"Who Got Funded","https://www.eu-startups.com/directory/who-got-funded/"
"Mential","https://www.eu-startups.com/directory/mential/"
"escanearvulnerabilidades.com","https://www.eu-startups.com/directory/escanearvulnerabilidades.com"
"Nido Contech","https://www.eu-startups.com/directory/nido-contech/"
"Málaga Startups","https://www.eu-startups.com/directory/malaga-startups/"
"AI Chatbot Hub","https://www.eu-startups.com/directory/ai-chatbot-hub/"
"Rellenator","https://www.eu-startups.com/directory/rellenator/"
"RepoShare","https://www.eu-startups.com/directory/reposhare/"
"HouseNix","https://www.eu-startups.com/directory/housenix/"
"2Eyes Vision","https://www.eu-startups.com/directory/2eyes-vision/"
"Feliz Ladrando","https://www.eu-startups.com/directory/feliz-ladrando/"
"Hawktesters","https://www.eu-startups.com/directory/hawktesters/"
"Remove Background","https://www.eu-startups.com/directory/remove-background/"
"Didit","https://www.eu-startups.com/directory/didit/"
"Habitium","https://www.eu-startups.com/directory/habitium/"
"Wamoca","https://www.eu-startups.com/directory/wamoca/"
"Dataprius","https://www.eu-startups.com/directory/dataprius/"
"Remuner","https://www.eu-startups.com/directory/remuner/"
"Talent AI","https://www.eu-startups.com/directory/talent-ai/"
