Name,Link
"Upwordo – App to Learn German with Micro Stories","https://www.eu-startups.com/directory/upwordo-app-to-learn-german-with-micro-stories/"
"ubertiger","https://www.eu-startups.com/directory/ubertiger/"
"DeepDocs","https://www.eu-startups.com/directory/deepdocs/"
"Videreo GmbH","https://www.eu-startups.com/directory/videreo-gmbh/"
"Exped Tribe","https://www.eu-startups.com/directory/exped-tribe/"
"PaperCheck","https://www.eu-startups.com/directory/papercheck/"
"Tensor Suisse AG","https://www.eu-startups.com/directory/tensor-suisse-ag/"
"Generation Impact Global SA","https://www.eu-startups.com/directory/generation-impact-global-sa/"
"Neo-hypotheque","https://www.eu-startups.com/directory/neo-hypotheque/"
"ekona","https://www.eu-startups.com/directory/ekona/"
"Universallab GmbH","https://www.eu-startups.com/directory/universallab-gmbh/"
"SEOJuice","https://www.eu-startups.com/directory/seojuice/"
"Eiren AI: To-Do & Mindfulness App","https://www.eu-startups.com/directory/eiren-ai-to-do-mindfulness-app/"
"eFrontiers","https://www.eu-startups.com/directory/efrontiers/"
"Alterland","https://www.eu-startups.com/directory/alterland/"
"Gaia Tech","https://www.eu-startups.com/directory/gaia-tech/"
"LiYF 2G","https://www.eu-startups.com/directory/liyf-2g/"
"Neology","https://www.eu-startups.com/directory/neology/"
"3D Model-Based Analysis","https://www.eu-startups.com/directory/3d-model-based-analysis/"
"AssetKing","https://www.eu-startups.com/directory/assetking/"
"Toco","https://www.eu-startups.com/directory/toco/"
"Carbon Orchard","https://www.eu-startups.com/directory/carbon-orchard/"
"Vestir Technologies","https://www.eu-startups.com/directory/vestir-technologies/"
"BehaviorSMART","https://www.eu-startups.com/directory/behaviorsmart/"
"Cybee AI","https://www.eu-startups.com/directory/cybee-ai/"
"SPREP","https://www.eu-startups.com/directory/sprep/"
"First 2 Apply","https://www.eu-startups.com/directory/first-2-apply/"
"Webmobix Solutions AG","https://www.eu-startups.com/directory/webmobix-solutions-ag/"
"Swiss Helden – IT und Marketing Agentur","https://www.eu-startups.com/directory/swiss-helden-it-und-marketing-agentur/"
"EWM","https://www.eu-startups.com/directory/ewm/"
"SAVOIRR","https://www.eu-startups.com/directory/savoirr/"
"Orango AI","https://www.eu-startups.com/directory/orango-ai/"
"Securely Swiss","https://www.eu-startups.com/directory/securely-swiss/"
"Bloom Rocket GmbH","https://www.eu-startups.com/directory/bloom-rocket-gmbh/"
"tirreno","https://www.eu-startups.com/directory/tirreno/"
"Quarero AG","https://www.eu-startups.com/directory/quarero-ag/"
"ActorDO – AI Assistant","https://www.eu-startups.com/directory/actordo-ai-assistant/"
"Notis","https://www.eu-startups.com/directory/notis/"
"Escape Road","https://www.eu-startups.com/directory/escape-road/"
"KAQTU Design","https://www.eu-startups.com/directory/kaqtu-design/"
